"","OTU","Sample","Abundance","depth_m","avg_cells_ml","Kingdom","Phylum","Class","Order","Family","Genus","OTU_RA","AA_Arch_Bac","AA_Arch_Bac_roundof","TAX"
"21","Otu01086","LC-17m-E1",3,17,434666.6667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000176190755858343,76.5842485522993,77,"Nanoarchaeaeota|Woesearchaeia_ge"
"22","Otu01367","LC-17m-E1",3,17,434666.6667,"Archaea","Nanoarchaeaeota","Nanoarchaeaeota_unclassified","Nanoarchaeaeota_unclassified","Nanoarchaeaeota_unclassified","Nanoarchaeaeota_unclassified",0.000176190755858343,76.5842485522993,77,"Nanoarchaeaeota|Nanoarchaeaeota_unclassified"
"23","Otu01368","LC-19m-E1",3,19,397000,"Archaea","Nanoarchaeaeota","Nanoarchaeaeota_unclassified","Nanoarchaeaeota_unclassified","Nanoarchaeaeota_unclassified","Nanoarchaeaeota_unclassified",0.000174226145536907,69.167779778152,69,"Nanoarchaeaeota|Nanoarchaeaeota_unclassified"
"24","Otu01385","LC-19m-E1",3,19,397000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000174226145536907,69.167779778152,69,"Nanoarchaeaeota|Woesearchaeia_ge"
"25","Otu01387","LC-17m-E1",3,17,434666.6667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000176190755858343,76.5842485522993,77,"Nanoarchaeaeota|Woesearchaeia_ge"
"26","Otu01393","LC-17m-E1",3,17,434666.6667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000176190755858343,76.5842485522993,77,"Nanoarchaeaeota|Woesearchaeia_ge"
"27","Otu01415","LC-19m-E1",3,19,397000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000174226145536907,69.167779778152,69,"Nanoarchaeaeota|Woesearchaeia_ge"
"28","Otu00276","LC-13m-E1",2,13,95333.33333,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae","Methanoregula",0.00011972463334331,11.4137483783298,11,"Euryarchaeota|Methanoregula"
"29","Otu00326","LC-13m-E1",2,13,95333.33333,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.00011972463334331,11.4137483783298,11,"Nanoarchaeaeota|Woesearchaeia_ge"
"30","Otu00434","LC-15point5m-E1",2,15.5,585000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000285510349750178,167.023554603854,167,"Nanoarchaeaeota|Woesearchaeia_ge"
"31","Otu00434","Cadagno15m-E2",2,15,905000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000102417042195821,92.6874231872183,93,"Nanoarchaeaeota|Woesearchaeia_ge"
"32","Otu00473","Cadagno15m-E2",2,15,905000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000102417042195821,92.6874231872183,93,"Nanoarchaeaeota|Woesearchaeia_ge"
"33","Otu00473","LC-17m-E1",2,17,434666.6667,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000117460503905562,51.0561657015329,51,"Nanoarchaeaeota|Woesearchaeia_ge"
"34","Otu00473","LC-11m-E1",2,11,104333.3333,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",8.08767034655667e-05,8.43813605887824,8,"Nanoarchaeaeota|Woesearchaeia_ge"
"35","Otu00473","LC-15point5m-E1",2,15.5,585000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",0.000285510349750178,167.023554603854,167,"Nanoarchaeaeota|Woesearchaeia_ge"
"36","Otu00519","LC-9m-E1",2,9,73000,"Archaea","Nanoarchaeaeota","Woesearchaeia","Woesearchaeia_or","Woesearchaeia_fa","Woesearchaeia_ge",8.77847517886143e-05,6.40828688056884,6,"Nanoarchaeaeota|Woesearchaeia_ge"
