"","OTU","Sample","Abundance","depth_m","avg_cells_ml","Kingdom","Phylum","Class","Order","Family","Genus","OTU_RA","AA_Arch_Bac","AA_Arch_Bac_roundof","TAX"
"24","Otu00001","LC-15point5m-E1",1350,15.5,585000,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Chromatium",0.19271948608137,112740.899357602,112741,"Proteobacteria|Chromatium"
"25","Otu00035","LC-3m-E1",1346,3,95666.66667,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betII","Pnec",0.0445032236733344,4257.47506489734,4257,"Proteobacteria|Pnec"
"26","Otu00017","LC-3m-E1",1310,3,95666.66667,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaeraceae_ge",0.0433129442883121,4143.60500372624,4144,"Verrucomicrobia|Pedosphaeraceae_ge"
"27","Otu00026","LC-3m-E1",1285,3,95666.66667,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betIV","betIV-A",0.0424863613820466,4064.52857235741,4065,"Proteobacteria|betIV-A"
"28","Otu00017","LC-5m-E1",1235,5,86666.66667,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaeraceae_ge",0.0874707840498619,7580.80128461293,7581,"Verrucomicrobia|Pedosphaeraceae_ge"
"29","Otu00028","LC-3m-E1",1227,3,95666.66667,"Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas",0.0405686890395107,3881.07125158175,3881,"Armatimonadetes|Armatimonas"
"30","Otu00036","LC-9m-E1",1226,9,73000,"Bacteria","Verrucomicrobia","Verrucomicrobiae","uncultured","uncultured_fa","uncultured_ge",0.0538120528464206,3928.2798577887,3928,"Verrucomicrobia|uncultured_ge"
"31","Otu00025","LC-3m-E1",1218,3,95666.66667,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acTH1","acTH1-A",0.0402711191932551,3852.60373628897,3853,"Actinobacteria|acTH1-A"
"32","Otu00028","LC-9m-E1",1181,9,73000,"Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas",0.0518368959311768,3784.0934029759,3784,"Armatimonadetes|Armatimonas"
"33","Otu00004","LC-19m-E1",1175,19,397000,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobiaceae_ge",0.0682385736686219,27090.7137464429,27091,"Bacteroidetes|Lentimicrobiaceae_ge"
"34","Otu00015","LC-11m-E1",1170,11,104333.3333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-A",0.0473128715273565,4936.30959444377,4936,"Actinobacteria|acI-A"
"35","Otu00004","LC-17m-E1",1146,17,434666.6667,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobiaceae_ge",0.0673048687378869,29255.1829469783,29255,"Bacteroidetes|Lentimicrobiaceae_ge"
