"","OTU","Sample","Abundance","depth_m","avg_cells_ml","Kingdom","Phylum","Class","Order","Family","Genus","OTU_RA","AA_Arch_Bac","AA_Arch_Bac_roundof","TAX","cyano_per"
"1","Otu00006","LC-13m-E1",2627,13,95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.157258305896438,14991.9584949362,14992,"Cyanobacteria|Chloroplast_ge",64.1044411908248
"2","Otu00008","Cadagno7m-E2",2514,7,157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",0.110209986410065,17339.7045248433,17340,"Cyanobacteria|Oxyphotobacteria_unclassified",89.9785254115963
"3","Otu00006","LC-17m-E1",1918,17,434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.112644623245434,48962.86290777,48963,"Cyanobacteria|Chloroplast_ge",83.7920489296636
"4","Otu00008","LC-11m-E1",1827,11,104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",0.0738808686157952,7708.23728978527,7708,"Cyanobacteria|Oxyphotobacteria_unclassified",38.4550620921911
"5","Otu00006","LC-19m-E1",1530,19,397000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.0888553342238225,35275.5676868575,35276,"Cyanobacteria|Chloroplast_ge",88.953488372093
"6","Otu00055","LC-11m-E1",1503,11,104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.0607788426543734,6341.259248247,6341,"Cyanobacteria|Chloroplast_ge",31.635445169438
"7","Otu00042","LC-11m-E1",1023,11,104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.0413684338226374,4316.10659411622,4316,"Cyanobacteria|Chloroplast_ge",21.5323089875816
"8","Otu00033","LC-13m-E1",866,13,95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.0518407662376534,4942.15304781682,4942,"Cyanobacteria|Chloroplast_ge",21.1322596388482
"9","Otu00006","Cadagno15m-E2",806,15,905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.041274068004916,37353.031544449,37353,"Cyanobacteria|Chloroplast_ge",56.6408995080815
"10","Otu00051","LC-3m-E1",612,3,95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.0202347495453794,1935.79103990875,1936,"Cyanobacteria|Chloroplast_ge",37.046004842615
"11","Otu00008","LC-9m-E1",565,9,73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",0.0247991923802835,1810.3410437607,1810,"Cyanobacteria|Oxyphotobacteria_unclassified",47.3595976529757
"12","Otu00042","LC-13m-E1",462,13,95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.0276563903023047,2636.57587539419,2637,"Cyanobacteria|Chloroplast_ge",11.2737920937042
"13","Otu00042","LC-3m-E1",396,3,95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.0130930732352455,1252.57067288213,1253,"Cyanobacteria|Chloroplast_ge",23.9709443099274
"14","Otu00051","LC-9m-E1",347,9,73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.0152306544353246,1111.83777377869,1112,"Cyanobacteria|Chloroplast_ge",29.0863369656329
"15","Otu00052","Cadagno15m-E2",338,15,905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.0173084801310938,15664.1745186399,15664,"Cyanobacteria|Chloroplast_ge",23.7526352775826
"16","Otu00006","LC-15point5m-E1",322,15.5,585000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.0459671663097787,26890.7922912206,26891,"Cyanobacteria|Chloroplast_ge",71.5555555555555
"17","Otu00033","LC-17m-E1",317,17,434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.0186174898690315,8092.40226369296,8092,"Cyanobacteria|Chloroplast_ge",13.8488422892093
"18","Otu00051","LC-11m-E1",305,11,104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.0123336972784989,1286.81574897893,1287,"Cyanobacteria|Chloroplast_ge",6.41970111555462
"19","Otu00051","LC-5m-E1",244,5,86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.0172816771726043,1497.74535501664,1498,"Cyanobacteria|Chloroplast_ge",34.3178621659634
"20","Otu00143","LC-3m-E1",240,3,95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.00793519590014878,759.133741140684,759,"Cyanobacteria|Chloroplast_ge",14.5278450363196
"21","Otu00033","Cadagno15m-E2",216,15,905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.0110610405571487,10010.2417042196,10010,"Cyanobacteria|Chloroplast_ge",15.1791988756149
"22","Otu00008","LC-3m-E1",194,3,95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",0.00641428335262027,613.633107422053,614,"Cyanobacteria|Oxyphotobacteria_unclassified",11.7433414043584
"23","Otu00042","LC-5m-E1",170,5,86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.0120405127841915,1043.5111080034,1044,"Cyanobacteria|Chloroplast_ge",23.9099859353024
"24","Otu00042","LC-9m-E1",165,9,73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.00724224202256068,528.68366764693,529,"Cyanobacteria|Chloroplast_ge",13.8306789606035
"25","Otu00033","LC-19m-E1",135,19,397000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.00784017654916081,3112.55009001684,3113,"Cyanobacteria|Chloroplast_ge",7.84883720930233
"26","Otu00051","Cadagno7m-E2",129,7,157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.00565516636710359,889.746174902459,890,"Cyanobacteria|Chloroplast_ge",4.61703650680029
"27","Otu00143","LC-5m-E1",119,5,86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",0.00842835894893406,730.45777560238,730,"Cyanobacteria|Chloroplast_ge",16.7369901547117
