OTU,Sample,Abundance,depth_m,avg_cells_ml,Kingdom,Phylum,Class,Order,Family,Genus,cells_ml
Otu00135,LC-9m-E1,0.001625802,9,73000,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacI,bacI-B,119
Otu00172,LC-11m-E1,0.00161845,11,104333.3333,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,169
Otu00047,LC-13m-E1,0.00161822,13,95333.33333,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,bacIII,bacIII-A,154
Otu00118,LC-13m-E1,0.00161822,13,95333.33333,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group_ge,154
Otu00214,LC-13m-E1,0.00161822,13,95333.33333,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,154
Otu00003,LC-17m-E1,0.001593578,17,434666.6667,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,693
Otu00034,LC-17m-E1,0.001593578,17,434666.6667,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacIV,bacIV-B,693
Otu00196,LC-17m-E1,0.001593578,17,434666.6667,Bacteria,Bacteroidetes,Ignavibacteria,SJA-28,SJA-28_fa,SJA-28_ge,693
Otu00215,LC-17m-E1,0.001593578,17,434666.6667,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,693
Otu00167,Cadagno15m-E2,0.001590804,15,905000,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,ST-12K33,ST-12K33_ge,1440
Otu00179,Cadagno15m-E2,0.001590804,15,905000,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolineaceae_unclassified,1440
Otu00107,LC-3m-E1,0.001588247,3,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acSTL,acSTL-A,152
Otu00091,LC-9m-E1,0.001581861,9,73000,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,115
Otu00208,Cadagno7m-E2,0.001578878,7,157333.3333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,248
Otu00059,LC-15point5m-E1,0.001575029,15.5,585000,Bacteria,Chloroflexi,SL56_marine_group,SL56_marine_group_or,SL56_marine_group_fa,SL56_marine_group_ge,921
Otu00127,LC-15point5m-E1,0.001575029,15.5,585000,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,921
Otu00135,LC-15point5m-E1,0.001575029,15.5,585000,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacI,bacI-B,921
Otu00179,LC-15point5m-E1,0.001575029,15.5,585000,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolineaceae_unclassified,921
Otu00185,LC-15point5m-E1,0.001575029,15.5,585000,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,uncultured,921
Otu00198,LC-15point5m-E1,0.001575029,15.5,585000,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiodictyon,921
Otu00223,LC-15point5m-E1,0.001575029,15.5,585000,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Bacteriovorax,921
Otu00064,LC-13m-E1,0.001558286,13,95333.33333,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betII,Pnec,149
Otu00086,LC-13m-E1,0.001558286,13,95333.33333,Bacteria,Proteobacteria,Gammaproteobacteria,Halothiobacillales,Halothiobacillaceae,Thiovirga,149
Otu00107,LC-13m-E1,0.001558286,13,95333.33333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acSTL,acSTL-A,149
Otu00133,LC-17m-E1,0.001534557,17,434666.6667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,667
Otu00142,LC-17m-E1,0.001534557,17,434666.6667,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,667
Otu00176,LC-17m-E1,0.001534557,17,434666.6667,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,Bacteroidetes_vadinHA17_ge,667
Otu00266,LC-3m-E1,0.00152207,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,gamV,gamV_unclassified,146
Otu00215,LC-19m-E1,0.001518514,19,397000,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,603
Otu00255,LC-13m-E1,0.001498352,13,95333.33333,Bacteria,Bacteroidetes,Ignavibacteria,OPB56,OPB56_fa,OPB56_ge,143
Otu00363,LC-13m-E1,0.001498352,13,95333.33333,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12409,UBA12409_ge,143
Otu00103,LC-9m-E1,0.00149398,9,73000,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacI,unclassified,109
Otu00147,Cadagno7m-E2,0.001491163,7,157333.3333,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,gamIV,gamIV-A,235
Otu00200,Cadagno15m-E2,0.001488172,15,905000,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified,1347
Otu00009,LC-19m-E1,0.00146011,19,397000,Bacteria,Verrucomicrobia,Verrucomicrobiae,uncultured,uncultured_fa,uncultured_ge,580
Otu00108,LC-19m-E1,0.00146011,19,397000,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,580
Otu00196,LC-19m-E1,0.00146011,19,397000,Bacteria,Bacteroidetes,Ignavibacteria,SJA-28,SJA-28_fa,SJA-28_ge,580
Otu00229,LC-19m-E1,0.00146011,19,397000,Bacteria,Patescibacteria,Parcubacteria,Parcubacteria_unclassified,Parcubacteria_unclassified,Parcubacteria_unclassified,580
Otu00238,LC-19m-E1,0.00146011,19,397000,Bacteria,Cloacimonetes,Cloacimonadia,Cloacimonadales,Cloacimonadales_unclassified,Cloacimonadales_unclassified,580
Otu00023,LC-9m-E1,0.00145004,9,73000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,106
Otu00086,Cadagno15m-E2,0.001436855,15,905000,Bacteria,Proteobacteria,Gammaproteobacteria,Halothiobacillales,Halothiobacillaceae,Thiovirga,1300
Otu00122,Cadagno15m-E2,0.001436855,15,905000,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-C,1300
Otu00176,Cadagno15m-E2,0.001436855,15,905000,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,Bacteroidetes_vadinHA17_ge,1300
Otu00025,LC-15point5m-E1,0.001431844,15.5,585000,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acTH1,acTH1-A,838
Otu00035,LC-15point5m-E1,0.001431844,15.5,585000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betII,Pnec,838
Otu00056,LC-15point5m-E1,0.001431844,15.5,585000,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Luna1,Luna1-A,838
Otu00133,LC-15point5m-E1,0.001431844,15.5,585000,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,838
Otu00161,LC-15point5m-E1,0.001431844,15.5,585000,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella,838
Otu00163,LC-15point5m-E1,0.001431844,15.5,585000,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,838
Otu00178,LC-15point5m-E1,0.001431844,15.5,585000,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,uncultured,838
Otu00200,LC-15point5m-E1,0.001431844,15.5,585000,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified,838
Otu00213,LC-15point5m-E1,0.001431844,15.5,585000,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae_ge,838
Otu00237,LC-15point5m-E1,0.001431844,15.5,585000,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,838
Otu00276,LC-15point5m-E1,0.001431844,15.5,585000,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,838
Otu00282,LC-15point5m-E1,0.001431844,15.5,585000,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,838
Otu00059,LC-3m-E1,0.001422805,3,95666.66667,Bacteria,Chloroflexi,SL56_marine_group,SL56_marine_group_or,SL56_marine_group_fa,SL56_marine_group_ge,136
Otu00068,LC-5m-E1,0.001416531,5,86666.66667,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,123
Otu00201,LC-5m-E1,0.001416531,5,86666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIII,betIII-A,123
Otu00127,LC-17m-E1,0.001416514,17,434666.6667,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,616
Otu00270,LC-17m-E1,0.001416514,17,434666.6667,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcales_unclassified,Myxococcales_unclassified,616
Otu00006,LC-11m-E1,0.001416144,11,104333.3333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,148
Otu00127,LC-11m-E1,0.001416144,11,104333.3333,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,148
Otu00059,Cadagno15m-E2,0.001385539,15,905000,Bacteria,Chloroflexi,SL56_marine_group,SL56_marine_group_or,SL56_marine_group_fa,SL56_marine_group_ge,1254
Otu00177,Cadagno15m-E2,0.001385539,15,905000,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbaceae_ge,1254
Otu00079,LC-13m-E1,0.001378484,13,95333.33333,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,BSV13,131
Otu00161,LC-13m-E1,0.001378484,13,95333.33333,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella,131
Otu00179,LC-13m-E1,0.001378484,13,95333.33333,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolineaceae_unclassified,131
Otu00122,LC-9m-E1,0.001362158,9,73000,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-C,99
Otu00165,LC-17m-E1,0.001357493,17,434666.6667,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade,590
Otu00175,LC-17m-E1,0.001357493,17,434666.6667,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,590
Otu00252,LC-17m-E1,0.001357493,17,434666.6667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI_unclassified,590
Otu00122,LC-3m-E1,0.001356628,3,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-C,130
Otu00111,LC-5m-E1,0.001345704,5,86666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,alfVI,unclassified,117
Otu00305,LC-5m-E1,0.001345704,5,86666.66667,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,117
Otu00287,LC-19m-E1,0.001343301,19,397000,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,533
Otu00095,LC-11m-E1,0.001335222,11,104333.3333,Bacteria,Patescibacteria,Parcubacteria,Parcubacteria_unclassified,Parcubacteria_unclassified,Parcubacteria_unclassified,139
Otu00196,Cadagno15m-E2,0.001334223,15,905000,Bacteria,Bacteroidetes,Ignavibacteria,SJA-28,SJA-28_fa,SJA-28_ge,1207
Otu00026,LC-13m-E1,0.00131855,13,95333.33333,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,126
Otu00153,LC-13m-E1,0.00131855,13,95333.33333,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,BSV13,126
Otu00258,LC-13m-E1,0.00131855,13,95333.33333,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Lacunisphaera,126
Otu00017,Cadagno7m-E2,0.001315732,7,157333.3333,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae_ge,207
Otu00065,Cadagno7m-E2,0.001315732,7,157333.3333,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacV,unclassified,207
Otu00174,LC-17m-E1,0.001298471,17,434666.6667,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,564
Otu00193,LC-17m-E1,0.001298471,17,434666.6667,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,564
Otu00255,LC-17m-E1,0.001298471,17,434666.6667,Bacteria,Bacteroidetes,Ignavibacteria,OPB56,OPB56_fa,OPB56_ge,564
Otu00276,LC-17m-E1,0.001298471,17,434666.6667,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,564
Otu00111,LC-15point5m-E1,0.00128866,15.5,585000,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,alfVI,unclassified,754
Otu00122,LC-15point5m-E1,0.00128866,15.5,585000,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-C,754
Otu00167,LC-15point5m-E1,0.00128866,15.5,585000,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,ST-12K33,ST-12K33_ge,754
Otu00174,LC-15point5m-E1,0.00128866,15.5,585000,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,754
Otu00183,LC-15point5m-E1,0.00128866,15.5,585000,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,754
Otu00245,LC-15point5m-E1,0.00128866,15.5,585000,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,754
Otu00338,LC-15point5m-E1,0.00128866,15.5,585000,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,uncultured,754
Otu00341,LC-15point5m-E1,0.00128866,15.5,585000,Bacteria,Patescibacteria,ABY1,Candidatus_Falkowbacteria,Candidatus_Falkowbacteria_fa,Candidatus_Falkowbacteria_ge,754
Otu00028,LC-19m-E1,0.001284897,19,397000,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,510
Otu00216,LC-19m-E1,0.001284897,19,397000,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae_ge,510
Otu00237,LC-19m-E1,0.001284897,19,397000,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,510
Otu00253,LC-19m-E1,0.001284897,19,397000,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,510
Otu00296,LC-19m-E1,0.001284897,19,397000,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae_unclassified,510
Otu00327,LC-19m-E1,0.001284897,19,397000,Bacteria,Chlamydiae,LD1-PA32,LD1-PA32_or,LD1-PA32_fa,LD1-PA32_ge,510
Otu00203,LC-5m-E1,0.001274878,5,86666.66667,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacV,unclassified,110
Otu00339,LC-5m-E1,0.001274878,5,86666.66667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group_ge,110
Otu00208,LC-9m-E1,0.001274277,9,73000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,93
Otu00039,LC-13m-E1,0.001258616,13,95333.33333,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Luna1,Luna1-A,120
Otu00190,LC-13m-E1,0.001258616,13,95333.33333,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Polymorphobacter,120
Otu00263,LC-3m-E1,0.001257362,3,95666.66667,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,120
Otu00304,LC-3m-E1,0.001257362,3,95666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,120
Otu00122,LC-17m-E1,0.00123945,17,434666.6667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-C,539
Otu00135,LC-17m-E1,0.00123945,17,434666.6667,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacI,bacI-B,539
Otu00160,LC-17m-E1,0.00123945,17,434666.6667,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,Bacteroidetes_BD2-2_ge,539
Otu00238,LC-17m-E1,0.00123945,17,434666.6667,Bacteria,Cloacimonetes,Cloacimonadia,Cloacimonadales,Cloacimonadales_unclassified,Cloacimonadales_unclassified,539
Otu00262,LC-17m-E1,0.00123945,17,434666.6667,Bacteria,Omnitrophicaeota,Omnitrophicaeota_cl,Omnitrophicaeota_or,Omnitrophicaeota_fa,Omnitrophicaeota_ge,539
Otu00038,Cadagno15m-E2,0.00123159,15,905000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-A,1115
Otu00153,Cadagno15m-E2,0.00123159,15,905000,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,BSV13,1115
Otu00161,Cadagno15m-E2,0.00123159,15,905000,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella,1115
Otu00163,Cadagno15m-E2,0.00123159,15,905000,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,1115
Otu00175,Cadagno15m-E2,0.00123159,15,905000,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,1115
Otu00124,LC-9m-E1,0.001230337,9,73000,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,90
Otu00262,LC-19m-E1,0.001226492,19,397000,Bacteria,Omnitrophicaeota,Omnitrophicaeota_cl,Omnitrophicaeota_or,Omnitrophicaeota_fa,Omnitrophicaeota_ge,487
Otu00286,LC-19m-E1,0.001226492,19,397000,Bacteria,Cyanobacteria,Oxyphotobacteria,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena_PCC-7429,487
Otu00217,LC-3m-E1,0.001224274,3,95666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,alfVIII,unclassified,117
Otu00108,LC-13m-E1,0.001198681,13,95333.33333,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,114
Otu00147,LC-13m-E1,0.001198681,13,95333.33333,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,gamIV,gamIV-A,114
Otu00185,LC-13m-E1,0.001198681,13,95333.33333,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,uncultured,114
Otu00251,LC-13m-E1,0.001198681,13,95333.33333,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriales_unclassified,Sphingobacteriales_unclassified,114
Otu00323,LC-13m-E1,0.001198681,13,95333.33333,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,114
Otu00232,LC-9m-E1,0.001186396,9,73000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Betaproteobacteriales_unclassified,Betaproteobacteriales_unclassified,87
Otu00229,LC-17m-E1,0.001180428,17,434666.6667,Bacteria,Patescibacteria,Parcubacteria,Parcubacteria_unclassified,Parcubacteria_unclassified,Parcubacteria_unclassified,513
Otu00178,Cadagno15m-E2,0.001180274,15,905000,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,uncultured,1068
Otu00205,Cadagno15m-E2,0.001180274,15,905000,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,1068
Otu00214,Cadagno15m-E2,0.001180274,15,905000,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,1068
Otu00315,LC-11m-E1,0.001173376,11,104333.3333,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified,122
Otu00065,LC-19m-E1,0.001168088,19,397000,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacV,unclassified,464
Otu00226,LC-19m-E1,0.001168088,19,397000,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Cephaloticoccus,464
Otu00071,LC-3m-E1,0.001158097,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,111
Otu00026,LC-15point5m-E1,0.001145475,15.5,585000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,670
Otu00146,LC-15point5m-E1,0.001145475,15.5,585000,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Runella,670
Otu00147,LC-15point5m-E1,0.001145475,15.5,585000,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,gamIV,gamIV-A,670
Otu00206,LC-15point5m-E1,0.001145475,15.5,585000,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,670
Otu00216,LC-15point5m-E1,0.001145475,15.5,585000,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae_ge,670
Otu00226,LC-15point5m-E1,0.001145475,15.5,585000,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Cephaloticoccus,670
Otu00238,LC-15point5m-E1,0.001145475,15.5,585000,Bacteria,Cloacimonetes,Cloacimonadia,Cloacimonadales,Cloacimonadales_unclassified,Cloacimonadales_unclassified,670
Otu00251,LC-15point5m-E1,0.001145475,15.5,585000,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriales_unclassified,Sphingobacteriales_unclassified,670
Otu00100,LC-13m-E1,0.001138747,13,95333.33333,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,109
Otu00223,LC-13m-E1,0.001138747,13,95333.33333,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Bacteriovorax,109
Otu00197,LC-11m-E1,0.001132915,11,104333.3333,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophagaceae_unclassified,118
Otu00317,LC-11m-E1,0.001132915,11,104333.3333,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,118
Otu00019,Cadagno15m-E2,0.001128958,15,905000,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,1022
Otu00203,LC-3m-E1,0.001125008,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacV,unclassified,108
Otu00028,LC-17m-E1,0.001121407,17,434666.6667,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,487
Otu00206,LC-17m-E1,0.001121407,17,434666.6667,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,487
Otu00226,LC-17m-E1,0.001121407,17,434666.6667,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Cephaloticoccus,487
Otu00233,LC-17m-E1,0.001121407,17,434666.6667,Bacteria,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,487
Otu00244,LC-17m-E1,0.001121407,17,434666.6667,Bacteria,Patescibacteria,Parcubacteria,Parcubacteria_or,Parcubacteria_fa,Parcubacteria_ge,487
Otu00295,LC-17m-E1,0.001121407,17,434666.6667,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales_(SR1),Absconditabacteriales_(SR1)_fa,Absconditabacteriales_(SR1)_ge,487
Otu00035,LC-19m-E1,0.001109683,19,397000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betII,Pnec,441
Otu00163,LC-19m-E1,0.001109683,19,397000,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,441
Otu00252,LC-19m-E1,0.001109683,19,397000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI_unclassified,441
Otu00232,LC-3m-E1,0.00109192,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Betaproteobacteriales_unclassified,Betaproteobacteriales_unclassified,104
Otu00045,LC-13m-E1,0.001078813,13,95333.33333,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacV,unclassified,103
Otu00178,LC-13m-E1,0.001078813,13,95333.33333,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,uncultured,103
Otu00196,LC-13m-E1,0.001078813,13,95333.33333,Bacteria,Bacteroidetes,Ignavibacteria,SJA-28,SJA-28_fa,SJA-28_ge,103
Otu00208,LC-13m-E1,0.001078813,13,95333.33333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,103
Otu00300,LC-13m-E1,0.001078813,13,95333.33333,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade,103
Otu00311,LC-13m-E1,0.001078813,13,95333.33333,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacteraceae_unclassified,103
Otu00034,Cadagno15m-E2,0.001077642,15,905000,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacIV,bacIV-B,975
Otu00142,Cadagno15m-E2,0.001077642,15,905000,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,975
Otu00174,Cadagno15m-E2,0.001077642,15,905000,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,975
Otu00183,Cadagno15m-E2,0.001077642,15,905000,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,975
Otu00193,LC-5m-E1,0.001062398,5,86666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,92
