OTU,Sample,OTU Count,Depth,Average cells/ml,Kingdom,Phylum,Class,Order,Family,Genus,OTU Relative Abundance,Absolute Abundance,Absolute Abundance round off,Phylum|Genus
Otu00326,LC-9m-E1,5,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,0.0002194618795,16.0207172,16,Nanoarchaeaeota|Woesearchaeia_ge
Otu00519,LC-9m-E1,2,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,8.78E-05,6.408286881,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu00826,LC-9m-E1,2,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,8.78E-05,6.408286881,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu01383,LC-9m-E1,2,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,8.78E-05,6.408286881,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu01898,LC-9m-E1,2,9,73000,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,8.78E-05,6.408286881,6,Archaea_unclassified|Archaea_unclassified
Otu02069,LC-9m-E1,2,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,8.78E-05,6.408286881,6,Nanoarchaeaeota|Woesearchaeia_ge
Otu00434,LC-9m-E1,1,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.39E-05,3.20414344,3,Nanoarchaeaeota|Woesearchaeia_ge
Otu00639,LC-9m-E1,1,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.39E-05,3.20414344,3,Nanoarchaeaeota|Woesearchaeia_ge
Otu00729,LC-9m-E1,1,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.39E-05,3.20414344,3,Nanoarchaeaeota|Woesearchaeia_ge
Otu00754,LC-9m-E1,1,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.39E-05,3.20414344,3,Nanoarchaeaeota|Woesearchaeia_ge
Otu00997,LC-9m-E1,1,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.39E-05,3.20414344,3,Nanoarchaeaeota|Woesearchaeia_ge
Otu01084,LC-9m-E1,1,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.39E-05,3.20414344,3,Nanoarchaeaeota|Woesearchaeia_ge
Otu01370,LC-9m-E1,1,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.39E-05,3.20414344,3,Nanoarchaeaeota|Woesearchaeia_ge
Otu02120,LC-9m-E1,1,9,73000,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiales_unclassified,Methanomicrobiales_unclassified,4.39E-05,3.20414344,3,Euryarchaeota|Methanomicrobiales_unclassified
Otu02121,LC-9m-E1,1,9,73000,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,4.39E-05,3.20414344,3,Euryarchaeota|Methanolinea
Otu02174,LC-9m-E1,1,9,73000,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,4.39E-05,3.20414344,3,Archaea_unclassified|Archaea_unclassified
Otu02977,LC-9m-E1,1,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.39E-05,3.20414344,3,Nanoarchaeaeota|Woesearchaeia_ge
Otu02978,LC-9m-E1,1,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.39E-05,3.20414344,3,Nanoarchaeaeota|Woesearchaeia_ge
Otu02979,LC-9m-E1,1,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.39E-05,3.20414344,3,Nanoarchaeaeota|Woesearchaeia_ge
Otu02980,LC-9m-E1,1,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.39E-05,3.20414344,3,Nanoarchaeaeota|Woesearchaeia_ge
Otu03026,LC-9m-E1,1,9,73000,Archaea,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,4.39E-05,3.20414344,3,Nanoarchaeaeota|Woesearchaeia_ge
