OTU,Sample,Abundance,depth_m,Water_Layer,avg_cells_ml,Kingdom,Phylum,Abundance_P,AA_Phylum
Otu00003,LC-13m-E1,0.213716204,13,Chemocline,95333.33333,Bacteria,Bacteroidetes,21.37162041,20374.27812
Otu00002,LC-13m-E1,0.142017865,13,Chemocline,95333.33333,Bacteria,Actinobacteria,14.20178646,13539.03643
Otu00009,LC-13m-E1,0.047539116,13,Chemocline,95333.33333,Bacteria,Verrucomicrobia,4.753911636,4532.062426
Otu00012,LC-13m-E1,0.036508603,13,Chemocline,95333.33333,Bacteria,Firmicutes,3.65086026,3480.486781
Otu00072,LC-13m-E1,0.016785564,13,Chemocline,95333.33333,Bacteria,Patescibacteria,1.678556441,1600.223807
Otu00141,LC-13m-E1,0.007793298,13,Chemocline,95333.33333,Bacteria,Epsilonbacteraeota,0.779329776,742.9610535
Otu00059,LC-13m-E1,0.005635154,13,Chemocline,95333.33333,Bacteria,Chloroflexi,0.563515377,537.2179925
Otu00066,LC-13m-E1,0.004795876,13,Chemocline,95333.33333,Bacteria,Planctomycetes,0.479587555,457.2068021
Otu00028,LC-13m-E1,0.003177268,13,Chemocline,95333.33333,Bacteria,Armatimonadetes,0.317726755,302.8995064
Otu00100,LC-13m-E1,0.001678556,13,Chemocline,95333.33333,Bacteria,Spirochaetes,0.167855644,160.0223807
Otu00363,LC-13m-E1,0.001498711,13,Chemocline,95333.33333,Bacteria,Dependentiae,0.149871111,142.8771257
Otu00218,LC-13m-E1,0.001079072,13,Chemocline,95333.33333,Bacteria,Bacteria_unclassified,0.1079072,102.8715305
Otu00001,Cadagno15m-E2,0.485522128,15,Chemocline,905000,Bacteria,Proteobacteria,48.55221275,439397.5254
Otu00003,Cadagno15m-E2,0.254184208,15,Chemocline,905000,Bacteria,Bacteroidetes,25.41842078,230036.7081
Otu00006,Cadagno15m-E2,0.073056782,15,Chemocline,905000,Bacteria,Cyanobacteria,7.305678201,66116.38772
Otu00012,Cadagno15m-E2,0.052726153,15,Chemocline,905000,Bacteria,Firmicutes,5.272615258,47717.16809
Otu00002,Cadagno15m-E2,0.035989321,15,Chemocline,905000,Bacteria,Actinobacteria,3.598932129,32570.33576
Otu00009,Cadagno15m-E2,0.035886641,15,Chemocline,905000,Bacteria,Verrucomicrobia,3.588664134,32477.41041
Otu00072,Cadagno15m-E2,0.020792689,15,Chemocline,905000,Bacteria,Patescibacteria,2.079268919,18817.38371
Otu00069,Cadagno15m-E2,0.007906356,15,Chemocline,905000,Bacteria,Acidobacteria,0.790635589,7155.252079
Otu00066,Cadagno15m-E2,0.007238936,15,Chemocline,905000,Bacteria,Planctomycetes,0.723893624,6551.237293
Otu00141,Cadagno15m-E2,0.004671938,15,Chemocline,905000,Bacteria,Epsilonbacteraeota,0.467193757,4228.103501
Otu00059,Cadagno15m-E2,0.004107198,15,Chemocline,905000,Bacteria,Chloroflexi,0.410719786,3717.014067
Otu00092,Cadagno15m-E2,0.004107198,15,Chemocline,905000,Bacteria,Kiritimatiellaeota,0.410719786,3717.014067
Otu00100,Cadagno15m-E2,0.003645138,15,Chemocline,905000,Bacteria,Spirochaetes,0.36451381,3298.849985
Otu00218,Cadagno15m-E2,0.002926378,15,Chemocline,905000,Bacteria,Bacteria_unclassified,0.292637848,2648.372523
Otu00139,Cadagno15m-E2,0.002669679,15,Chemocline,905000,Bacteria,Omnitrophicaeota,0.266967861,2416.059144
Otu00028,Cadagno15m-E2,0.002361639,15,Chemocline,905000,Bacteria,Armatimonadetes,0.236163877,2137.283089
Otu00238,Cadagno15m-E2,0.00092412,15,Chemocline,905000,Bacteria,Cloacimonetes,0.092411952,836.3281651
Otu00272,Cadagno15m-E2,0.0007701,15,Chemocline,905000,Bacteria,Lentisphaerae,0.07700996,696.9401376
Otu00327,Cadagno15m-E2,0.0002567,15,Chemocline,905000,Bacteria,Chlamydiae,0.025669987,232.3133792
Otu00363,Cadagno15m-E2,0.0002567,15,Chemocline,905000,Bacteria,Dependentiae,0.025669987,232.3133792
Otu00001,LC-15point5m-E1,0.395352173,15.5,Chemocline,585000,Bacteria,Proteobacteria,39.53521733,231281.0214
Otu00003,LC-15point5m-E1,0.283029694,15.5,Chemocline,585000,Bacteria,Bacteroidetes,28.30296944,165572.3713
Otu00002,LC-15point5m-E1,0.066131115,15.5,Chemocline,585000,Bacteria,Actinobacteria,6.613111462,38686.70205
Otu00006,LC-15point5m-E1,0.064553149,15.5,Chemocline,585000,Bacteria,Cyanobacteria,6.455314876,37763.59202
