OTU,Sample,Abundance,depth_m,Water_Layer,avg_cells_ml,Kingdom,Phylum,Class,Order,Family,Genus,Abundance (percentage),Absolute_Abundance_Genus
Otu00323,LC-13m-E1,0.001198969,13,Chemocline,95333.33333,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,0.119896889,114.3017005
Otu00208,LC-13m-E1,0.001079072,13,Chemocline,95333.33333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.1079072,102.8715305
Otu00006,Cadagno15m-E2,0.041380018,15,Chemocline,905000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,4.138001848,37448.91673
Otu00052,Cadagno15m-E2,0.017352911,15,Chemocline,905000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,1.735291098,15704.38443
Otu00033,Cadagno15m-E2,0.011089434,15,Chemocline,905000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,1.108943423,10035.93798
Otu00042,Cadagno15m-E2,0.002002259,15,Chemocline,905000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.200225896,1812.044358
Otu00323,Cadagno15m-E2,0.0005134,15,Chemocline,905000,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,0.051339973,464.6267584
Otu00286,Cadagno15m-E2,0.00030804,15,Chemocline,905000,Bacteria,Cyanobacteria,Oxyphotobacteria,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena_PCC-7429,0.030803984,278.776055
Otu00475,Cadagno15m-E2,0.0002567,15,Chemocline,905000,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,Gastranaerophilales_fa,Gastranaerophilales_ge,0.025669987,232.3133792
Otu00006,LC-15point5m-E1,0.046191364,15.5,Chemocline,585000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,4.619136422,27021.94807
Otu00033,LC-15point5m-E1,0.014488596,15.5,Chemocline,585000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,1.448859561,8475.828432
Otu00052,LC-15point5m-E1,0.002295223,15.5,Chemocline,585000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.229522307,1342.705494
Otu00286,LC-15point5m-E1,0.000573806,15.5,Chemocline,585000,Bacteria,Cyanobacteria,Oxyphotobacteria,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena_PCC-7429,0.057380577,335.6763735
Otu00323,LC-15point5m-E1,0.000573806,15.5,Chemocline,585000,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,0.057380577,335.6763735
Otu00475,LC-15point5m-E1,0.000286903,15.5,Chemocline,585000,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,Gastranaerophilales_fa,Gastranaerophilales_ge,0.028690288,167.8381868
Otu00006,LC-17m-E1,0.113450846,17,Monimolimnion,434666.6667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,11.34508459,49313.301
Otu00033,LC-17m-E1,0.018750739,17,Monimolimnion,434666.6667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,1.875073938,8150.321386
Otu00286,LC-17m-E1,0.00094641,17,Monimolimnion,434666.6667,Bacteria,Cyanobacteria,Oxyphotobacteria,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena_PCC-7429,0.094640956,411.3726882
