"","OTU","Sample","Abundance","depth_m","avg_cells_ml","Kingdom","Phylum","Class","Order","Family","Genus","Abundance_P","AA_Genus","Phylum_Genus"
"69","Otu00007","Cadagno7m-E2",0.0853508771929825,7,157333.3333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-A",8.53508771929824,13428.5380088509,"Actinobacteria|acI-A"
"18","Otu00002","LC-11m-E1",0.084122359796067,11,104333.3333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-B",8.4122359796067,8776.76620258558,"Actinobacteria|acI-B"
"86","Otu00009","LC-9m-E1",0.0811761086450138,9,73000,"Bacteria","Verrucomicrobia","Verrucomicrobiae","uncultured","uncultured_fa","uncultured_ge",8.11761086450139,5925.85593108601,"Verrucomicrobia|uncultured_ge"
"33","Otu00004","Cadagno15m-E2",0.0794229387000719,15,905000,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobiaceae_ge",7.94229387000719,71877.7595235651,"Bacteroidetes|Lentimicrobiaceae_ge"
"34","Otu00004","LC-19m-E1",0.0776159560156753,19,397000,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobiaceae_ge",7.76159560156753,30813.5345382231,"Bacteroidetes|Lentimicrobiaceae_ge"
"32","Otu00004","LC-17m-E1",0.0768366260499231,17,434666.6667,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobiaceae_ge",7.68366260499231,33398.3201255945,"Bacteroidetes|Lentimicrobiaceae_ge"
"80","Otu00008","LC-11m-E1",0.0739661730193413,11,104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",7.39661730193413,7717.1373825524,"Cyanobacteria|Oxyphotobacteria_unclassified"
"85","Otu00009","Cadagno7m-E2",0.0734649122807018,7,157333.3333,"Bacteria","Verrucomicrobia","Verrucomicrobiae","uncultured","uncultured_fa","uncultured_ge",7.34649122807018,11558.4795297149,"Verrucomicrobia|uncultured_ge"
"54","Otu00006","Cadagno15m-E2",0.0718246226511962,15,905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",7.18246226511962,65001.2834993326,"Cyanobacteria|Chloroplast_ge"
"128","Otu00017","LC-9m-E1",0.0640355118006417,9,73000,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaeraceae_ge",6.40355118006417,4674.59236144684,"Verrucomicrobia|Pedosphaeraceae_ge"
"261","Otu00045","LC-9m-E1",0.0634641585724959,9,73000,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","bacV","unclassified",6.34641585724959,4632.8835757922,"Bacteroidetes|unclassified"
"56","Otu00006","LC-15point5m-E1",0.0629751829005882,15.5,585000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",6.29751829005882,36840.4819968441,"Cyanobacteria|Chloroplast_ge"
"66","Otu00007","LC-13m-E1",0.0623463821113842,13,95333.33333,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-A",6.23463821113842,5943.68842774414,"Actinobacteria|acI-A"
"136","Otu00019","LC-11m-E1",0.0609775835558793,11,104333.3333,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","bacVI","unclassified",6.09775835558793,6361.99454896415,"Bacteroidetes|unclassified"
"213","Otu00035","LC-3m-E1",0.0585666071074052,3,95666.66667,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","betII","Pnec",5.85666071074052,5602.87208013699,"Proteobacteria|Pnec"
"68","Otu00007","LC-9m-E1",0.0577945765393574,9,73000,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","acI","acI-A",5.77945765393574,4219.00408737309,"Actinobacteria|acI-A"
"269","Otu00045","LC-11m-E1",0.0542607428987618,11,104333.3333,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","bacV","unclassified",5.42607428987618,5661.20417396213,"Bacteroidetes|unclassified"
"187","Otu00028","LC-9m-E1",0.0519052432646244,9,73000,"Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas",5.19052432646244,3789.08275831758,"Armatimonadetes|Armatimonas"
"131","Otu00019","LC-3m-E1",0.0516180266031368,3,95666.66667,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","bacVI","unclassified",5.16180266031368,4938.12454520548,"Bacteroidetes|unclassified"
