Press_CTD1_29,Depth_m_CTD1_29,Temp_CTD1_29,Cond_CTD1_29,Chl_A_CTD1_29,Turb_CTD1_29,DO_mg_CTD1_29,pH_CTD1_29
0.279,3.179,15.711,0.136,0.674,0.1,10.11,9.33
0.328,3.228,15.69,0.136,0.705,0.1,10.111,9.33
0.361,3.261,15.667,0.136,0.705,0.07,10.125,9.32
0.377,3.277,15.65,0.136,0.705,0.1,10.131,9.32
0.426,3.326,15.662,0.135,0.674,0.1,10.132,9.32
0.459,3.359,15.7,0.135,0.643,0.07,10.122,9.33
0.508,3.408,15.731,0.135,0.613,0.07,10.11,9.33
0.508,3.408,15.754,0.135,0.613,0.131,10.108,9.33
0.59,3.49,15.772,0.135,0.613,0.1,10.108,9.33
0.59,3.49,15.785,0.135,0.613,0.1,10.099,9.33
0.59,3.49,15.792,0.135,0.613,0.07,10.097,9.33
0.656,3.556,15.798,0.135,0.613,0.193,10.096,9.34
0.688,3.588,15.802,0.135,0.582,0.131,10.095,9.34
0.737,3.637,15.805,0.135,0.582,0.07,10.096,9.34
0.77,3.67,15.806,0.135,0.582,0.1,10.094,9.34
0.737,3.637,15.808,0.135,0.582,0.1,10.095,9.34
0.803,3.703,15.808,0.135,0.582,0.1,10.089,9.35
0.852,3.752,15.808,0.135,0.582,0.1,10.087,9.35
0.901,3.801,15.809,0.135,0.582,0.07,10.086,9.35
0.967,3.867,15.809,0.135,0.613,0.07,10.078,9.35
0.983,3.883,15.809,0.135,0.613,0.07,10.07,9.35
0.967,3.867,15.809,0.135,0.613,0.1,10.067,9.35
1.016,3.916,15.809,0.135,0.613,0.1,10.066,9.35
1,3.9,15.808,0.135,0.582,0.1,10.079,9.35
1.065,3.965,15.808,0.135,0.582,0.1,10.083,9.35
1.098,3.998,15.807,0.135,0.551,0.131,10.084,9.35
1.163,4.063,15.806,0.135,0.551,0.1,10.073,9.35
1.147,4.047,15.806,0.135,0.643,0.1,10.061,9.35
1.229,4.129,15.807,0.135,0.674,0.1,10.056,9.35
1.245,4.145,15.806,0.135,0.735,0.1,10.054,9.35
1.278,4.178,15.806,0.135,0.735,0.1,10.051,9.35
1.311,4.211,15.806,0.135,0.735,0.1,10.05,9.35
1.311,4.211,15.806,0.135,0.735,0.07,10.049,9.35
1.327,4.227,15.806,0.135,0.735,0.193,10.04,9.36
1.409,4.309,15.806,0.135,0.735,0.1,10.029,9.36
1.458,4.358,15.806,0.135,0.735,0.07,10.026,9.36
1.491,4.391,15.806,0.135,0.705,0.07,10.025,9.36
1.54,4.44,15.806,0.135,0.705,0.07,10.034,9.36
1.524,4.424,15.806,0.135,0.735,0.5,10.036,9.36
1.54,4.44,15.806,0.135,0.735,0.162,10.037,9.36
1.589,4.489,15.806,0.135,0.705,0.315,10.057,9.36
1.606,4.506,15.805,0.135,0.674,0.162,10.07,9.36
1.688,4.588,15.806,0.135,0.643,0.1,10.072,9.36
1.671,4.571,15.806,0.135,0.613,0.131,10.072,9.36
1.688,4.588,15.805,0.135,0.613,0.1,10.056,9.36
1.737,4.637,15.803,0.135,0.613,0.1,10.05,9.36
1.737,4.637,15.801,0.135,0.582,0.1,10.05,9.36
1.802,4.702,15.799,0.135,0.613,0.1,10.03,9.36
1.819,4.719,15.798,0.135,0.674,0.1,10.012,9.36
1.819,4.719,15.798,0.135,0.705,0.07,10.008,9.36
1.917,4.817,15.799,0.135,0.705,0.07,10.007,9.36
1.933,4.833,15.799,0.135,0.674,0.1,10.042,9.36
1.983,4.883,15.8,0.135,0.643,0.131,10.055,9.36
1.966,4.866,15.8,0.135,0.643,0.807,10.057,9.36
