,OTU,Sample,Abundance,depth_m,avg_cells_ml,Kingdom,Phylum,Abundance_P,AA_Phylum
86,Otu00066,LC-19m-E1,0.015558285,19,397000,Bacteria,Planctomycetes,1.555828508,6176.639176
121,Otu00100,LC-19m-E1,0.011697959,19,397000,Bacteria,Spirochaetes,1.169795871,4644.089606
114,Otu00092,LC-19m-E1,0.011054571,19,397000,Bacteria,Kiritimatiellaeota,1.105457098,4388.664678
144,Otu00141,LC-19m-E1,0.010879102,19,397000,Bacteria,Epsilonbacteraeota,1.08791016,4319.003334
72,Otu00059,LC-19m-E1,0.010352693,19,397000,Bacteria,Chloroflexi,1.035269345,4110.019302
153,Otu00218,LC-19m-E1,0.007486694,19,397000,Bacteria,Bacteria_unclassified,0.748669357,2972.217348
134,Otu00139,LC-19m-E1,0.005848979,19,397000,Bacteria,Omnitrophicaeota,0.584897935,2322.044803
173,Otu00272,LC-19m-E1,0.001813184,19,397000,Bacteria,Lentisphaerae,0.18131836,719.833889
161,Otu00238,LC-19m-E1,0.001462245,19,397000,Bacteria,Cloacimonetes,0.146224484,580.5112008
62,Otu00028,LC-19m-E1,0.001286775,19,397000,Bacteria,Armatimonadetes,0.128677546,510.8498567
186,Otu00327,LC-19m-E1,0.001286775,19,397000,Bacteria,Chlamydiae,0.128677546,510.8498567
