"","Press..dbar._CTD1_28","Depth_m_CTD1_28","Temp_CTD1_28","pH_CTD1_28","Turb_FTU_CTD1_28","Cond_ms_p_cm_CTD1_28","DO_mg_l_CTD1_28","Chl_A_ug_p_l_CTD1_28"
"73",-0.48,1.37,16.07,8.98,0.12,0.1362,9.32,0.97
"74",-0.47,1.38,16.07,8.98,0.12,0.1362,9.31,0.95
"75",-0.46,1.39,16.07,8.98,0.15,0.1362,9.31,0.93
"76",-0.45,1.4,16.07,8.98,0.15,0.1362,9.3,0.94
"77",-0.43,1.42,16.07,8.98,0.12,0.1362,9.3,0.92
"78",-0.41,1.44,16.07,8.98,0.12,0.1362,9.31,0.9
"79",-0.39,1.46,16.07,8.98,0.15,0.1373,9.31,0.95
"80",-0.38,1.47,16.07,8.98,0.22,0.1373,9.31,0.99
"81",-0.37,1.48,16.07,8.98,0.15,0.1362,9.31,0.99
"82",-0.36,1.49,16.07,8.98,0.15,0.1362,9.32,0.98
"83",-0.35,1.5,16.07,8.98,0.19,0.1362,9.32,0.97
"84",-0.33,1.52,16.07,8.98,0.22,0.1373,9.31,0.98
"85",-0.29,1.56,16.07,8.98,0.34,0.1373,9.31,1.07
"86",-0.26,1.59,16.07,8.98,0.22,0.1362,9.31,1.08
"87",-0.24,1.61,16.07,8.97,0.15,0.1362,9.31,1.06
"88",-0.22,1.63,16.07,8.97,0.15,0.1362,9.31,1.03
"89",-0.21,1.64,16.07,8.97,0.12,0.1362,9.32,1
"90",-0.19,1.66,16.07,8.97,0.15,0.1362,9.32,0.98
"91",-0.18,1.67,16.07,8.97,0.12,0.1362,9.31,0.96
"92",-0.16,1.69,16.07,8.97,0.15,0.1373,9.31,0.98
"93",-0.15,1.7,16.07,8.97,0.15,0.1362,9.31,1.04
"94",-0.14,1.71,16.07,8.98,0.19,0.1362,9.31,1.1
"95",-0.14,1.71,16.07,8.98,0.12,0.1362,9.3,1.11
"96",-0.12,1.73,16.07,8.98,0.15,0.1373,9.3,1.08
"97",-0.11,1.74,16.07,8.98,0.15,0.1373,9.31,1.05
"98",-0.09,1.76,16.07,8.98,0.12,0.1373,9.31,1.01
"99",-0.07,1.78,16.07,8.98,0.12,0.1373,9.3,1
"100",-0.06,1.79,16.07,8.98,0.22,0.1362,9.31,1.01
"101",-0.04,1.81,16.07,8.98,0.19,0.1362,9.31,1.01
"102",-0.02,1.83,16.07,8.98,0.15,0.1362,9.31,1.01
"103",-0.01,1.84,16.07,8.98,0.15,0.1362,9.31,0.99
"104",0.01,1.86,16.07,8.98,0.15,0.1362,9.3,0.94
"105",0.01,1.86,16.07,8.98,0.12,0.1362,9.3,0.91
"106",0.03,1.88,16.07,8.98,0.15,0.1362,9.3,0.89
"107",0.06,1.91,16.07,8.98,0.15,0.1373,9.3,0.91
"108",0.1,1.95,16.07,8.98,0.12,0.1362,9.31,0.91
"109",0.13,1.98,16.07,8.98,0.12,0.1362,9.31,0.92
"110",0.14,1.99,16.07,8.98,0.15,0.1362,9.31,1.07
"111",0.15,2,16.06,8.98,0.15,0.1362,9.31,1.12
"112",0.17,2.02,16.06,8.98,0.15,0.1362,9.3,1.09
"113",0.18,2.03,16.06,8.98,0.12,0.1373,9.3,1.05
"114",0.19,2.04,16.06,8.98,0.12,0.1362,9.3,1.02
"115",0.2,2.05,16.06,8.98,0.12,0.1362,9.3,1.03
"116",0.22,2.07,16.06,8.98,0.12,0.1373,9.3,1.03
