Press..dbar._CTD1_28,Depth_m_CTD1_28,Temp_CTD1_28,pH_CTD1_28,Turb_FTU_CTD1_28,Cond_ms_p_cm_CTD1_28,DO_mg_l_CTD1_28,Chl_A_ug_p_l_CTD1_28
-0.16,1.69,16.07,8.97,0.15,0.1373,9.31,0.98
-0.15,1.7,16.07,8.97,0.15,0.1362,9.31,1.04
-0.14,1.71,16.07,8.98,0.19,0.1362,9.31,1.1
-0.14,1.71,16.07,8.98,0.12,0.1362,9.3,1.11
-0.12,1.73,16.07,8.98,0.15,0.1373,9.3,1.08
-0.11,1.74,16.07,8.98,0.15,0.1373,9.31,1.05
-0.09,1.76,16.07,8.98,0.12,0.1373,9.31,1.01
-0.07,1.78,16.07,8.98,0.12,0.1373,9.3,1
-0.06,1.79,16.07,8.98,0.22,0.1362,9.31,1.01
-0.04,1.81,16.07,8.98,0.19,0.1362,9.31,1.01
-0.02,1.83,16.07,8.98,0.15,0.1362,9.31,1.01
-0.01,1.84,16.07,8.98,0.15,0.1362,9.31,0.99
0.01,1.86,16.07,8.98,0.15,0.1362,9.3,0.94
0.01,1.86,16.07,8.98,0.12,0.1362,9.3,0.91
0.03,1.88,16.07,8.98,0.15,0.1362,9.3,0.89
0.06,1.91,16.07,8.98,0.15,0.1373,9.3,0.91
0.1,1.95,16.07,8.98,0.12,0.1362,9.31,0.91
0.13,1.98,16.07,8.98,0.12,0.1362,9.31,0.92
0.14,1.99,16.07,8.98,0.15,0.1362,9.31,1.07
0.15,2,16.06,8.98,0.15,0.1362,9.31,1.12
0.17,2.02,16.06,8.98,0.15,0.1362,9.3,1.09
0.18,2.03,16.06,8.98,0.12,0.1373,9.3,1.05
0.19,2.04,16.06,8.98,0.12,0.1362,9.3,1.02
0.2,2.05,16.06,8.98,0.12,0.1362,9.3,1.03
0.22,2.07,16.06,8.98,0.12,0.1373,9.3,1.03
0.23,2.08,16.06,8.99,0.15,0.1362,9.3,1.01
0.24,2.09,16.06,8.99,0.15,0.1373,9.31,1.01
0.26,2.11,16.06,8.99,0.12,0.1362,9.31,1.02
0.27,2.12,16.06,8.99,0.15,0.1362,9.31,1.04
0.29,2.14,16.06,8.99,0.15,0.1373,9.29,1.04
0.3,2.15,16.06,8.99,0.15,0.1362,9.29,1.03
0.32,2.17,16.06,8.99,0.22,0.1362,9.29,1.03
0.32,2.17,16.06,8.99,0.19,0.1373,9.29,1.01
0.34,2.19,16.06,8.99,0.19,0.1362,9.3,0.98
0.35,2.2,16.06,8.99,0.15,0.1362,9.3,1
0.36,2.21,16.06,8.99,0.25,0.1362,9.3,1.04
0.37,2.22,16.06,8.99,0.19,0.1362,9.3,1.06
0.38,2.23,16.06,8.99,0.15,0.1373,9.31,1.03
0.41,2.26,16.06,8.99,0.19,0.1373,9.3,0.98
0.44,2.29,16.06,8.99,0.19,0.1362,9.3,0.94
0.47,2.32,16.06,8.99,0.19,0.1373,9.3,0.96
0.5,2.35,16.06,8.99,0.15,0.1373,9.29,0.96
0.51,2.36,16.06,8.99,0.15,0.1362,9.29,0.94
0.53,2.38,16.06,8.99,0.12,0.1362,9.3,0.92
0.54,2.39,16.05,8.99,0.12,0.1373,9.3,0.91
0.55,2.4,16.05,8.99,0.12,0.1362,9.3,0.92
0.56,2.41,16.05,8.99,0.15,0.1373,9.31,0.91
0.58,2.43,16.05,8.99,0.15,0.1373,9.31,0.93
0.59,2.44,16.05,8.99,0.12,0.1362,9.29,0.95
0.62,2.47,16.05,8.99,0.15,0.1373,9.29,0.96
0.65,2.5,16.05,8.99,0.19,0.1362,9.29,0.97
0.68,2.53,16.05,8.99,0.19,0.1373,9.29,1
0.69,2.54,16.05,8.99,0.25,0.1373,9.29,1.02
0.71,2.56,16.05,8.99,0.25,0.1362,9.29,1.02
0.72,2.57,16.05,8.99,0.19,0.1362,9.3,1
0.73,2.58,16.05,9,0.19,0.1362,9.3,0.98
0.74,2.59,16.05,9,0.19,0.1373,9.3,0.94
0.75,2.6,16.05,9,0.15,0.1362,9.3,0.92
0.77,2.62,16.05,9,0.15,0.1362,9.29,0.96
0.79,2.64,16.04,9,0.15,0.1373,9.29,1.05
0.82,2.67,16.04,9,0.15,0.1362,9.28,1.07
0.86,2.71,16.05,9,0.15,0.1362,9.28,1.07
0.88,2.73,16.04,9,0.15,0.1373,9.28,1.07
0.88,2.73,16.04,9,0.15,0.1362,9.28,1.06
0.88,2.73,16.04,9,0.12,0.1373,9.28,1.04
0.88,2.73,16.04,9,0.12,0.1362,9.28,1.1
0.88,2.73,16.04,9,0.15,0.1362,9.28,1.15
0.89,2.74,16.04,9,0.15,0.1373,9.29,1.12
0.9,2.75,16.04,9,0.15,0.1373,9.28,1.09
0.9,2.75,16.04,9,0.15,0.1362,9.29,1.05
0.91,2.76,16.04,9,0.19,0.1373,9.29,1.01
0.92,2.77,16.04,9,0.15,0.1373,9.27,0.98
0.93,2.78,16.04,9,0.19,0.1373,9.27,0.95
0.93,2.78,16.04,9,0.15,0.1373,9.27,0.92
0.94,2.79,16.04,9,0.15,0.1373,9.27,0.9
0.96,2.81,16.03,9,0.15,0.1373,9.27,0.91
0.98,2.83,16.03,9,0.19,0.1373,9.27,0.95
0.99,2.84,16.03,9,0.19,0.1373,9.28,0.95
0.99,2.84,16.03,9,0.22,0.1373,9.28,0.95
1.01,2.86,16.03,9,0.22,0.1362,9.28,0.98
1.02,2.87,16.03,9,0.19,0.1362,9.26,0.98
1.03,2.88,16.03,9,0.22,0.1373,9.26,0.98
1.04,2.89,16.03,9,0.19,0.1373,9.26,1
1.06,2.91,16.03,9,0.19,0.1362,9.26,1
1.06,2.91,16.03,9,0.19,0.1362,9.26,0.98
1.07,2.92,16.03,9.01,0.22,0.1362,9.26,0.94
1.08,2.93,16.03,9.01,0.25,0.1362,9.26,0.92
1.1,2.95,16.02,9.01,0.19,0.1362,9.26,0.89
1.1,2.95,16.02,9.01,0.19,0.1373,9.25,0.89
1.11,2.96,16.03,9.01,0.15,0.1362,9.25,1
1.12,2.97,16.02,9.01,0.15,0.1373,9.26,1.05
1.13,2.98,16.02,9.01,0.15,0.1362,9.26,1.03
1.13,2.98,16.02,9.01,0.15,0.1362,9.27,1.05
1.14,2.99,16.01,9.01,0.15,0.1362,9.26,1.11
1.16,3.01,16.01,9.01,0.15,0.1373,9.27,1.09
1.17,3.02,16,9.01,0.15,0.1362,9.27,1.08
1.18,3.03,15.99,9.01,0.15,0.1362,9.27,1.14
1.19,3.04,15.98,9,0.12,0.1362,9.26,1.13
1.2,3.05,15.97,9,0.12,0.1362,9.26,1.09
1.21,3.06,15.95,9,0.15,0.1362,9.26,1.03
1.21,3.06,15.94,9,0.19,0.1362,9.26,1
1.23,3.08,15.94,9,0.19,0.1362,9.26,0.97
1.24,3.09,15.93,9,0.86,0.1362,9.26,0.98
1.25,3.1,15.93,9,1.42,0.1362,9.27,1
1.27,3.12,15.92,9,0.52,0.1362,9.27,0.98
1.28,3.13,15.92,9,0.22,0.1362,9.26,0.98
1.3,3.15,15.91,9,0.15,0.1362,9.26,0.99
1.32,3.17,15.91,9,0.15,0.1362,9.25,0.98
1.33,3.18,15.91,9,0.15,0.1362,9.25,0.96
1.35,3.2,15.91,9,0.15,0.1362,9.25,0.94
1.37,3.22,15.9,9,0.15,0.1362,9.25,0.93
1.38,3.23,15.9,9,0.15,0.1362,9.25,0.92
1.39,3.24,15.9,9,0.12,0.1362,9.24,0.94
1.41,3.26,15.9,9,0.19,0.1362,9.24,0.98
1.42,3.27,15.9,9,0.43,0.1362,9.24,1.04
1.44,3.29,15.9,9,0.28,0.1362,9.24,1.05
1.45,3.3,15.89,9,0.22,0.1362,9.24,1.03
1.45,3.3,15.89,9,0.19,0.1362,9.24,1.02
1.46,3.31,15.89,9,0.12,0.1362,9.24,0.98
1.46,3.31,15.89,9,0.15,0.1362,9.24,0.98
1.47,3.32,15.89,9,0.19,0.1362,9.22,0.97
1.49,3.34,15.89,9,0.22,0.1362,9.22,1.02
1.49,3.34,15.89,9,0.15,0.1362,9.22,1.1
1.5,3.35,15.88,9,0.15,0.1362,9.23,1.12
1.51,3.36,15.88,9,0.15,0.1362,9.21,1.1
