Press..dbar._CTD1_28,Depth_m_CTD1_28,Temp_CTD1_28,pH_CTD1_28,Turb_FTU_CTD1_28,Cond_ms_p_cm_CTD1_28,DO_mg_l_CTD1_28,Chl_A_ug_p_l_CTD1_28
2.81,4.66,15.75,9.01,0.09,0.1351,9.17,1.04
2.83,4.68,15.74,9.01,0.09,0.1351,9.17,1.01
2.84,4.69,15.74,9.01,0.12,0.1362,9.17,0.98
2.86,4.71,15.74,9.01,0.15,0.1351,9.17,0.95
2.87,4.72,15.74,9.01,0.19,0.1351,9.15,0.94
2.89,4.74,15.73,9.01,0.15,0.1351,9.15,0.92
2.91,4.76,15.73,9.01,0.15,0.1351,9.15,0.9
2.93,4.78,15.72,9.01,0.15,0.1351,9.15,0.89
2.94,4.79,15.71,9.01,0.12,0.1351,9.14,0.92
2.95,4.8,15.71,9.01,0.12,0.1351,9.14,0.91
2.97,4.82,15.71,9.01,0.12,0.1351,9.14,0.91
3,4.85,15.71,9.01,0.12,0.1351,9.15,0.94
3.04,4.89,15.7,9.01,0.12,0.1351,9.15,0.97
3.07,4.92,15.69,9.01,0.12,0.1351,9.16,1.02
3.09,4.94,15.69,9.01,0.12,0.1351,9.16,1.15
3.1,4.95,15.68,9.01,0.09,0.1351,9.14,1.19
3.11,4.96,15.67,9.01,0.09,0.1351,9.14,1.15
3.12,4.97,15.67,9.01,0.12,0.134,9.14,1.12
3.12,4.97,15.67,9.01,0.12,0.1351,9.14,1.17
3.12,4.97,15.67,9.01,0.12,0.1351,9.14,1.13
3.12,4.97,15.67,9.01,0.09,0.1351,9.14,1.06
3.14,4.99,15.66,9.01,0.12,0.1351,9.14,0.98
3.15,5,15.66,9.01,0.12,0.1351,9.14,0.94
3.15,5,15.65,9.01,0.12,0.1351,9.12,0.94
3.15,5,15.64,9.01,0.15,0.1351,9.12,0.95
3.16,5.01,15.64,9.01,0.15,0.1351,9.12,0.97
3.17,5.02,15.63,9.01,0.12,0.1351,9.12,0.96
3.17,5.02,15.63,9.01,0.09,0.134,9.12,0.96
3.17,5.02,15.63,9.01,0.12,0.1351,9.1,0.98
3.17,5.02,15.63,9.01,0.12,0.1351,9.1,0.98
3.16,5.01,15.63,9.01,0.12,0.1351,9.11,0.96
3.16,5.01,15.63,9.01,0.12,0.1351,9.11,0.94
3.16,5.01,15.63,9.01,0.12,0.1351,9.1,0.95
3.16,5.01,15.63,9.01,0.09,0.134,9.1,1.01
3.17,5.02,15.63,9.01,0.09,0.134,9.1,1.06
3.17,5.02,15.63,9.01,0.09,0.1351,9.1,1.03
3.18,5.03,15.63,9.01,0.09,0.1351,9.1,0.99
3.18,5.03,15.62,9.01,0.09,0.1351,9.1,0.98
3.18,5.03,15.62,9.01,0.09,0.1351,9.09,1.01
3.18,5.03,15.62,9.01,0.09,0.1351,9.09,1.01
3.18,5.03,15.62,9.01,0.09,0.1351,9.09,1
3.18,5.03,15.62,9.01,0.09,0.1351,9.09,0.98
3.18,5.03,15.62,9.01,0.09,0.1351,9.09,0.95
3.19,5.04,15.62,9.01,0.09,0.1351,9.09,0.94
3.2,5.05,15.62,9.01,0.25,0.1351,9.09,0.95
3.23,5.08,15.61,9.01,0.19,0.1351,9.08,0.96
3.25,5.1,15.61,9,0.12,0.1351,9.08,0.96
3.26,5.11,15.6,9,0.12,0.134,9.06,1
3.29,5.14,15.6,9,0.09,0.134,9.06,1.17
3.31,5.16,15.6,9,0.12,0.134,9.07,1.2
3.33,5.18,15.59,9,0.12,0.134,9.07,1.18
3.35,5.2,15.59,9,0.12,0.134,9.05,1.13
3.38,5.23,15.58,9,0.12,0.134,9.05,1.08
3.41,5.26,15.56,9,0.12,0.134,9.05,1.04
3.43,5.28,15.54,9,0.12,0.134,9.05,1.05
3.45,5.3,15.53,9,0.12,0.134,9.06,1.11
3.46,5.31,15.52,9,0.12,0.1351,9.06,1.12
3.47,5.32,15.52,9,0.15,0.1351,9.06,1.1
3.49,5.34,15.52,9,0.15,0.134,9.04,1.07
3.5,5.35,15.51,9,0.12,0.1351,9.04,1.08
3.51,5.36,15.51,9,0.15,0.1351,9.03,1.11
3.52,5.37,15.51,9,0.19,0.1351,9.03,1.16
3.53,5.38,15.5,9,0.15,0.1351,9.02,1.15
3.54,5.39,15.5,9,0.15,0.1351,9.02,1.13
3.55,5.4,15.5,9,0.12,0.1351,9.02,1.09
3.55,5.4,15.5,9,0.12,0.1351,9.02,1.07
3.57,5.42,15.5,9,0.09,0.1351,9.03,1.13
3.59,5.44,15.49,9,0.15,0.1351,9.03,1.15
3.6,5.45,15.48,9,0.15,0.1351,9.01,1.13
3.62,5.47,15.47,9,0.12,0.1351,9.01,1.1
3.63,5.48,15.46,9,0.12,0.1351,9,1.08
3.64,5.49,15.44,9,0.12,0.134,9,1.09
3.65,5.5,15.43,9,0.12,0.1351,9,1.17
3.66,5.51,15.42,9,0.12,0.1351,9,1.19
3.67,5.52,15.41,9,0.09,0.1351,9,1.14
3.69,5.54,15.4,9,0.09,0.1351,8.99,1.06
3.7,5.55,15.4,9,0.09,0.134,8.99,0.96
3.71,5.56,15.39,9,0.12,0.134,9,0.94
3.72,5.57,15.38,9,0.12,0.134,9,1
3.74,5.59,15.37,9,0.12,0.134,8.97,1.06
3.77,5.62,15.36,9,0.12,0.134,8.97,1.04
3.79,5.64,15.35,9,0.22,0.134,8.97,1
3.81,5.66,15.33,9,0.15,0.134,8.97,0.96
3.82,5.67,15.31,9,0.12,0.134,8.96,1
3.83,5.68,15.31,9,0.12,0.134,8.96,1
3.85,5.7,15.31,9,0.12,0.134,8.95,0.97
3.85,5.7,15.31,9,0.12,0.134,8.95,0.94
3.86,5.71,15.3,9,0.15,0.134,8.93,0.93
3.87,5.72,15.29,9,0.19,0.134,8.93,1.06
3.88,5.73,15.29,9,0.19,0.134,8.93,1.14
3.89,5.74,15.28,9,0.12,0.134,8.92,1.16
3.9,5.75,15.27,8.99,0.09,0.134,8.92,1.16
3.91,5.76,15.26,8.99,0.12,0.134,8.92,1.1
3.92,5.77,15.25,8.99,0.12,0.1351,8.92,1.06
3.93,5.78,15.23,8.99,0.12,0.134,8.9,1.01
3.94,5.79,15.22,8.99,0.12,0.134,8.9,0.98
3.95,5.8,15.21,8.99,0.12,0.1351,8.91,0.98
3.96,5.81,15.21,8.99,0.12,0.134,8.91,1.03
3.97,5.82,15.2,8.99,0.09,0.134,8.91,1.04
3.98,5.83,15.19,8.99,0.09,0.134,8.91,1.06
3.99,5.84,15.18,8.99,0.09,0.1351,8.9,1.02
4,5.85,15.18,8.99,0.12,0.1351,8.9,0.98
4.01,5.86,15.17,8.99,0.12,0.1351,8.89,0.97
4.01,5.86,15.17,8.99,0.15,0.134,8.89,1.04
4.01,5.86,15.18,8.99,0.15,0.1351,8.88,1.04
4.02,5.87,15.19,8.98,0.12,0.1351,8.88,1.02
4.03,5.88,15.19,8.98,0.12,0.1351,8.88,0.98
4.02,5.87,15.19,8.98,0.12,0.1351,8.87,1
4.03,5.88,15.2,8.98,0.12,0.134,8.87,1.02
4.03,5.88,15.2,8.98,0.12,0.1351,8.87,1.01
4.03,5.88,15.2,8.98,0.12,0.134,8.87,0.99
4.03,5.88,15.2,8.98,0.09,0.1351,8.84,1.04
4.04,5.89,15.19,8.98,0.12,0.134,8.84,1.06
4.04,5.89,15.19,8.98,0.12,0.1351,8.84,1.04
4.05,5.9,15.19,8.98,0.12,0.1351,8.84,1
4.05,5.9,15.18,8.98,0.09,0.134,8.81,0.98
4.06,5.91,15.18,8.98,0.12,0.1351,8.81,0.98
4.08,5.93,15.18,8.97,0.12,0.1351,8.8,1.03
4.08,5.93,15.19,8.97,0.12,0.1351,8.8,1.08
4.09,5.94,15.19,8.97,0.09,0.1351,8.76,1.14
4.1,5.95,15.19,8.97,0.12,0.1362,8.76,1.22
4.11,5.96,15.18,8.97,0.12,0.1362,8.76,1.32
4.13,5.98,15.18,8.97,0.12,0.1362,8.74,1.38
4.15,6,15.17,8.97,0.12,0.1362,8.74,1.39
4.16,6.01,15.14,8.97,0.15,0.1373,8.7,1.39
4.19,6.04,15.09,8.97,0.19,0.1373,8.7,1.42
4.2,6.05,15.03,8.96,0.15,0.1373,8.67,1.47
4.21,6.06,14.99,8.96,0.12,0.1384,8.67,1.52
4.22,6.07,14.95,8.96,0.15,0.1373,8.65,1.54
4.23,6.08,14.91,8.96,0.15,0.1373,8.65,1.53
4.24,6.09,14.88,8.96,0.12,0.1384,8.62,1.53
4.25,6.1,14.84,8.95,0.15,0.1384,8.62,1.56
4.27,6.12,14.83,8.95,0.52,0.1384,8.58,1.66
4.28,6.13,14.81,8.95,0.43,0.1384,8.58,1.69
4.3,6.15,14.79,8.95,0.25,0.1384,8.54,1.67
4.31,6.16,14.78,8.95,0.19,0.1384,8.54,1.66
4.32,6.17,14.76,8.94,0.19,0.1395,8.51,1.69
4.34,6.19,14.75,8.94,0.15,0.1395,8.49,1.76
4.36,6.21,14.74,8.94,0.19,0.1395,8.49,1.8
4.36,6.21,14.73,8.94,0.19,0.1395,8.4,1.89
4.38,6.23,14.71,8.94,0.15,0.1395,8.4,2.05
4.38,6.23,14.71,8.93,0.15,0.1406,8.31,2.36
4.37,6.22,14.71,8.93,0.15,0.1395,8.31,2.43
4.37,6.22,14.74,8.93,0.15,0.1406,8.21,2.35
4.37,6.22,14.78,8.93,0.15,0.1395,8.21,2.26
4.38,6.23,14.82,8.93,0.12,0.1395,8.13,2.19
4.38,6.23,14.85,8.92,0.12,0.1395,8.13,2.11
4.39,6.24,14.87,8.92,0.15,0.1395,8.06,2.07
4.39,6.24,14.87,8.92,0.19,0.1395,8.06,2.08
4.4,6.25,14.85,8.92,0.19,0.1395,7.99,2.27
4.41,6.26,14.83,8.92,0.15,0.1395,7.99,2.34
4.42,6.27,14.8,8.92,0.15,0.1406,7.91,2.32
4.43,6.28,14.78,8.91,0.15,0.1406,7.91,2.28
4.44,6.29,14.76,8.91,0.22,0.1406,7.91,2.22
4.46,6.31,14.75,8.91,0.22,0.1406,7.86,2.19
4.47,6.32,14.73,8.91,0.19,0.1406,7.86,2.15
4.49,6.34,14.7,8.91,0.19,0.1417,7.83,2.09
4.51,6.36,14.68,8.91,0.19,0.1417,7.83,2.06
4.54,6.39,14.64,8.9,0.19,0.1417,7.78,2.11
4.55,6.4,14.59,8.9,0.22,0.1428,7.78,2.18
4.56,6.41,14.53,8.9,0.22,0.1428,7.7,2.34
4.57,6.42,14.49,8.9,0.22,0.1428,7.7,2.51
4.59,6.44,14.46,8.89,0.22,0.1428,7.61,2.62
4.6,6.45,14.45,8.89,0.22,0.1428,7.61,2.71
4.61,6.46,14.44,8.89,0.22,0.1428,7.52,2.69
4.63,6.48,14.43,8.89,0.25,0.1428,7.52,2.68
4.63,6.48,14.42,8.89,0.22,0.1428,7.43,2.65
4.64,6.49,14.42,8.88,0.22,0.1428,7.43,2.6
4.66,6.51,14.42,8.88,0.22,0.1428,7.35,2.68
4.68,6.53,14.41,8.88,0.22,0.1439,7.35,2.74
4.7,6.55,14.39,8.88,0.25,0.1439,7.35,2.74
4.72,6.57,14.37,8.88,0.22,0.1439,7.26,2.69
4.74,6.59,14.35,8.87,0.25,0.1439,7.26,2.67
4.74,6.59,14.34,8.87,0.25,0.1428,7.18,2.7
4.75,6.6,14.33,8.87,0.22,0.1439,7.18,2.8
4.76,6.61,14.32,8.87,0.28,0.1439,7.08,2.82
4.77,6.62,14.32,8.87,0.25,0.1439,7.08,2.79
4.78,6.63,14.32,8.87,0.22,0.1439,7,2.76
4.78,6.63,14.31,8.86,0.19,0.1439,7,2.74
4.78,6.63,14.31,8.86,0.22,0.1439,6.92,2.74
4.79,6.64,14.31,8.86,0.22,0.1439,6.92,2.74
4.8,6.65,14.31,8.86,0.25,0.1439,6.85,2.74
4.81,6.66,14.31,8.86,0.28,0.1439,6.85,2.91
4.82,6.67,14.31,8.86,0.4,0.1439,6.79,2.99
4.83,6.68,14.31,8.85,0.31,0.1439,6.76,3.01
4.84,6.69,14.3,8.85,0.25,0.145,6.76,3.02
4.86,6.71,14.29,8.85,0.25,0.145,6.69,3.01
4.88,6.73,14.26,8.85,0.25,0.145,6.69,2.97
4.89,6.74,14.23,8.85,0.31,0.145,6.65,2.97
4.91,6.76,14.2,8.84,0.31,0.1461,6.65,2.99
4.92,6.77,14.18,8.84,0.25,0.1461,6.6,3.02
4.93,6.78,14.16,8.84,0.25,0.1461,6.6,3.14
4.95,6.8,14.14,8.84,0.25,0.1472,6.55,3.28
4.96,6.81,14.13,8.84,0.25,0.1472,6.55,3.35
4.97,6.82,14.11,8.84,0.28,0.1472,6.52,3.36
4.99,6.84,14.11,8.83,0.28,0.1472,6.52,3.48
4.99,6.84,14.1,8.83,0.25,0.1472,6.48,3.71
5,6.85,14.1,8.83,0.25,0.1483,6.48,3.8
5,6.85,14.09,8.83,0.25,0.1483,6.44,3.86
5.02,6.87,14.08,8.83,0.28,0.1483,6.44,3.86
5.03,6.88,14.08,8.82,0.31,0.1494,6.39,3.83
5.04,6.89,14.08,8.82,0.25,0.1483,6.39,3.81
5.05,6.9,14.06,8.82,0.25,0.1494,6.39,3.86
5.05,6.9,14.05,8.82,0.25,0.1494,6.32,3.88
5.05,6.9,14.04,8.82,0.28,0.1494,6.32,3.85
5.05,6.9,14.04,8.82,0.28,0.1494,6.24,3.81
5.05,6.9,14.04,8.81,0.28,0.1494,6.24,3.79
5.05,6.9,14.06,8.81,0.28,0.1494,6.18,3.79
5.05,6.9,14.07,8.81,0.25,0.1494,6.18,3.85
5.05,6.9,14.08,8.81,0.31,0.1494,6.11,3.85
5.05,6.9,14.09,8.81,0.31,0.1494,6.11,3.8
5.05,6.9,14.1,8.81,0.25,0.1505,6.03,3.82
5.05,6.9,14.11,8.81,0.28,0.1494,6.03,3.81
5.05,6.9,14.12,8.8,0.28,0.1494,5.96,3.8
5.05,6.9,14.12,8.8,0.28,0.1494,5.96,3.81
5.05,6.9,14.13,8.8,0.25,0.1494,5.9,3.82
5.07,6.92,14.13,8.8,0.28,0.1494,5.9,3.9
5.09,6.94,14.13,8.8,0.31,0.1505,5.83,3.94
5.12,6.97,14.11,8.8,0.28,0.1517,5.82,3.95
5.13,6.98,14.07,8.8,0.25,0.1517,5.82,3.96
5.15,7,14.02,8.79,0.43,0.1517,5.73,3.95
5.16,7.01,13.99,8.79,0.4,0.1528,5.73,3.94
5.17,7.02,13.97,8.79,0.31,0.1528,5.62,3.97
5.18,7.03,13.96,8.79,0.31,0.1528,5.62,3.97
5.19,7.04,13.93,8.79,0.28,0.1539,5.53,3.96
5.2,7.05,13.91,8.78,0.25,0.1528,5.53,3.97
5.21,7.06,13.9,8.78,0.28,0.1528,5.46,3.99
5.22,7.07,13.88,8.78,0.31,0.1528,5.46,4
5.23,7.08,13.88,8.78,0.34,0.1539,5.43,4
5.25,7.1,13.87,8.78,0.34,0.1539,5.43,4.07
5.26,7.11,13.86,8.78,0.31,0.1539,5.41,4.2
5.28,7.13,13.84,8.77,0.28,0.1539,5.41,4.3
5.3,7.15,13.82,8.77,0.28,0.155,5.35,4.34
5.31,7.16,13.8,8.77,0.31,0.155,5.35,4.38
5.32,7.17,13.77,8.77,0.31,0.155,5.35,4.37
5.34,7.19,13.74,8.77,0.34,0.1561,5.31,4.44
5.35,7.2,13.72,8.77,0.37,0.1561,5.31,4.51
5.36,7.21,13.71,8.77,0.34,0.1561,5.26,4.47
5.37,7.22,13.7,8.76,0.31,0.1561,5.26,4.36
5.38,7.23,13.7,8.76,0.31,0.1561,5.2,4.25
5.39,7.24,13.69,8.76,0.28,0.1572,5.2,4.19
5.41,7.26,13.68,8.76,0.28,0.1572,5.15,4.19
5.42,7.27,13.67,8.76,0.28,0.1572,5.15,4.27
5.44,7.29,13.66,8.76,0.28,0.1572,5.12,4.52
5.45,7.3,13.65,8.75,0.31,0.1583,5.12,4.58
5.46,7.31,13.64,8.75,0.34,0.1583,5.13,4.55
5.47,7.32,13.62,8.75,0.31,0.1583,5.13,4.53
5.49,7.34,13.61,8.75,0.34,0.1594,5.11,4.52
5.5,7.35,13.59,8.75,0.34,0.1594,5.11,4.69
5.51,7.36,13.56,8.75,0.31,0.1605,5.11,4.95
5.52,7.37,13.53,8.74,0.28,0.1605,5.07,4.98
5.53,7.38,13.51,8.74,0.31,0.1605,5.01,4.97
5.54,7.39,13.5,8.74,0.31,0.1616,5.01,5
5.55,7.4,13.49,8.74,0.28,0.1627,5,5.02
5.56,7.41,13.47,8.74,0.31,0.1627,4.93,5
5.57,7.42,13.46,8.73,0.28,0.1627,4.93,4.95
5.58,7.43,13.45,8.73,0.28,0.1627,4.84,4.93
5.59,7.44,13.45,8.73,0.34,0.1649,4.84,4.86
5.59,7.44,13.46,8.73,0.34,0.1649,4.74,4.77
5.61,7.46,13.48,8.73,0.28,0.166,4.74,4.72
5.62,7.47,13.47,8.73,0.28,0.1671,4.64,4.77
5.62,7.47,13.47,8.72,0.28,0.1671,4.64,4.85
5.64,7.49,13.46,8.72,0.31,0.1682,4.56,5
5.64,7.49,13.45,8.72,0.31,0.1694,4.56,5.12
5.66,7.51,13.43,8.72,0.34,0.1705,4.48,5.29
5.67,7.52,13.41,8.72,0.4,0.1716,4.48,5.52
5.68,7.53,13.37,8.71,0.34,0.1716,4.48,5.75
5.69,7.54,13.33,8.71,0.37,0.1727,4.39,5.94
5.71,7.56,13.28,8.71,0.56,0.1749,4.31,6.13
5.72,7.57,13.24,8.71,0.43,0.176,4.31,6.27
5.72,7.57,13.21,8.71,0.34,0.1771,4.31,6.47
5.74,7.59,13.18,8.7,0.34,0.1782,4.25,6.6
5.75,7.6,13.16,8.7,0.34,0.1782,4.26,6.78
5.76,7.61,13.15,8.7,0.31,0.1782,4.22,6.94
5.76,7.61,13.13,8.7,0.34,0.1793,4.22,7.09
5.78,7.63,13.11,8.7,0.34,0.1793,4.17,7.22
5.79,7.64,13.08,8.69,0.56,0.1804,4.17,7.31
5.81,7.66,13.03,8.69,0.52,0.1815,4.15,7.39
5.83,7.68,12.99,8.69,0.4,0.1815,4.15,7.45
5.84,7.69,12.94,8.69,0.4,0.1826,4.12,7.54
5.86,7.71,12.89,8.69,0.4,0.1826,4.12,7.6
5.86,7.71,12.85,8.68,0.37,0.1826,4.11,7.69
5.88,7.73,12.81,8.68,0.43,0.1837,4.11,7.78
5.89,7.74,12.77,8.68,0.4,0.1837,4.12,7.87
5.89,7.74,12.74,8.68,0.37,0.1848,4.13,7.99
5.89,7.74,12.75,8.68,0.4,0.1837,4.13,8.01
5.9,7.75,12.79,8.68,0.34,0.1837,4.14,7.96
5.89,7.74,12.81,8.67,0.34,0.1837,4.14,7.93
5.89,7.74,12.79,8.67,0.37,0.1837,4.17,7.87
5.89,7.74,12.77,8.67,0.4,0.1837,4.17,7.86
5.89,7.74,12.74,8.67,0.65,0.1837,4.17,7.9
5.89,7.74,12.71,8.67,0.92,0.1826,4.17,7.91
5.89,7.74,12.64,8.67,0.56,0.1826,4.19,7.87
5.89,7.74,12.55,8.66,0.37,0.1837,4.19,7.84
5.89,7.74,12.46,8.66,0.37,0.1826,4.2,7.8
5.89,7.74,12.41,8.66,0.34,0.1826,4.2,7.84
5.9,7.75,12.38,8.66,0.31,0.1826,4.2,7.85
5.9,7.75,12.34,8.66,0.34,0.1826,4.2,7.83
5.89,7.74,12.3,8.66,0.34,0.1826,4.22,7.82
5.91,7.76,12.26,8.66,0.31,0.1826,4.22,7.81
5.93,7.78,12.23,8.65,0.34,0.1837,4.22,7.83
5.94,7.79,12.2,8.65,0.34,0.1837,4.22,7.86
5.94,7.79,12.17,8.65,0.34,0.1837,4.22,7.95
5.95,7.8,12.14,8.65,0.34,0.1848,4.23,8
5.96,7.81,12.12,8.65,0.37,0.1848,4.23,8.01
5.97,7.82,12.1,8.65,0.4,0.1848,4.24,8.08
5.98,7.83,12.09,8.65,0.43,0.1848,4.24,8.18
5.99,7.84,12.07,8.65,0.43,0.186,4.25,8.27
6.01,7.86,12.05,8.64,0.52,0.186,4.25,8.37
6.02,7.87,12.03,8.64,0.43,0.186,4.28,8.46
6.03,7.88,12.01,8.64,0.4,0.186,4.28,8.55
6.05,7.9,12,8.64,0.4,0.1871,4.31,8.64
6.06,7.91,11.98,8.64,0.4,0.1871,4.31,8.73
6.07,7.92,11.96,8.64,0.4,0.1871,4.32,8.83
6.09,7.94,11.95,8.64,0.4,0.1871,4.32,9.09
6.1,7.95,11.93,8.64,0.4,0.1871,4.32,9.22
6.11,7.96,11.91,8.63,0.52,0.1871,4.32,9.27
6.12,7.97,11.9,8.63,0.62,0.1882,4.33,9.27
6.13,7.98,11.89,8.63,0.62,0.1882,4.35,9.32
6.16,8.01,11.87,8.63,0.49,0.1882,4.35,9.3
6.18,8.03,11.84,8.63,0.43,0.1882,4.37,9.28
6.2,8.05,11.81,8.63,0.43,0.1882,4.37,9.33
6.21,8.06,11.78,8.63,0.43,0.1893,4.4,9.41
6.23,8.08,11.74,8.62,0.56,0.1893,4.4,9.48
6.24,8.09,11.72,8.62,0.49,0.1893,4.42,9.47
6.24,8.09,11.7,8.62,0.49,0.1893,4.42,9.4
6.24,8.09,11.69,8.62,0.49,0.1893,4.44,9.31
6.24,8.09,11.68,8.62,0.49,0.1893,4.44,9.25
6.25,8.1,11.66,8.62,0.43,0.1893,4.45,9.28
6.24,8.09,11.65,8.62,0.4,0.1893,4.45,9.31
6.24,8.09,11.64,8.62,0.4,0.1882,4.46,9.32
6.24,8.09,11.63,8.62,0.4,0.1882,4.46,9.33
6.24,8.09,11.61,8.61,0.43,0.1882,4.46,9.38
6.24,8.09,11.61,8.61,0.4,0.1882,4.46,9.43
6.24,8.09,11.61,8.61,0.4,0.1882,4.46,9.48
6.24,8.09,11.61,8.61,0.37,0.1882,4.47,9.54
6.24,8.09,11.6,8.61,0.43,0.1882,4.47,9.54
6.24,8.09,11.59,8.61,0.43,0.1882,4.5,9.48
6.24,8.09,11.58,8.61,0.43,0.1882,4.49,9.4
6.24,8.09,11.58,8.61,0.43,0.1882,4.53,9.39
6.24,8.09,11.57,8.61,0.52,0.1882,4.53,9.44
6.24,8.09,11.57,8.6,0.46,0.1882,4.56,9.44
6.24,8.09,11.57,8.6,0.43,0.1882,4.56,9.4
6.25,8.1,11.57,8.6,0.4,0.1882,4.6,9.33
6.26,8.11,11.57,8.6,0.46,0.1893,4.6,9.26
6.27,8.12,11.56,8.6,0.43,0.1882,4.62,9.23
6.3,8.15,11.56,8.6,0.46,0.1893,4.62,9.21
6.31,8.16,11.54,8.6,0.59,0.1904,4.63,9.27
6.33,8.18,11.53,8.6,0.68,0.1904,4.63,9.38
6.34,8.19,11.51,8.6,0.59,0.1904,4.63,9.46
6.35,8.2,11.49,8.6,0.56,0.1904,4.64,9.46
6.37,8.22,11.48,8.59,0.99,0.1904,4.66,9.54
6.39,8.24,11.46,8.59,0.71,0.1915,4.66,9.58
6.4,8.25,11.44,8.59,0.56,0.1915,4.66,9.59
6.42,8.27,11.43,8.59,0.49,0.1915,4.68,9.65
6.43,8.28,11.42,8.59,0.46,0.1915,4.68,9.69
6.45,8.3,11.41,8.59,0.46,0.1915,4.7,9.78
6.46,8.31,11.39,8.59,0.46,0.1915,4.7,9.91
6.47,8.32,11.38,8.59,0.46,0.1926,4.73,10.07
6.48,8.33,11.36,8.59,0.71,0.1926,4.73,10.24
6.5,8.35,11.34,8.59,0.62,0.1926,4.76,10.36
6.51,8.36,11.33,8.58,0.52,0.1926,4.76,10.78
6.52,8.37,11.31,8.58,0.46,0.1926,4.78,11.02
6.54,8.39,11.29,8.58,0.43,0.1926,4.78,11.15
6.56,8.41,11.27,8.58,0.46,0.1926,4.78,11.23
6.57,8.42,11.25,8.58,0.46,0.1937,4.78,11.27
6.59,8.44,11.23,8.58,0.43,0.1937,4.78,11.42
6.6,8.45,11.2,8.58,0.43,0.1937,4.79,11.6
6.61,8.46,11.18,8.58,0.43,0.1948,4.79,11.66
6.62,8.47,11.16,8.58,0.4,0.1937,4.79,11.75
6.64,8.49,11.15,8.58,0.43,0.1937,4.79,11.84
6.64,8.49,11.13,8.58,0.46,0.1948,4.79,11.87
6.65,8.5,11.12,8.57,0.49,0.1948,4.79,11.85
6.65,8.5,11.11,8.57,0.49,0.1937,4.77,11.88
6.67,8.52,11.09,8.57,0.52,0.1948,4.77,11.88
6.68,8.53,11.08,8.57,0.49,0.1948,4.77,11.9
6.69,8.54,11.07,8.57,0.46,0.1948,4.77,11.94
6.69,8.54,11.05,8.57,0.49,0.1948,4.76,11.92
6.71,8.56,11.01,8.57,0.49,0.1937,4.76,11.88
6.73,8.58,10.99,8.57,0.49,0.1948,4.76,11.88
6.74,8.59,10.96,8.57,0.49,0.1948,4.76,11.94
6.76,8.61,10.93,8.57,0.46,0.1948,4.74,11.99
6.78,8.63,10.9,8.57,0.46,0.1948,4.74,12.18
6.8,8.65,10.86,8.57,0.49,0.1959,4.74,12.25
6.81,8.66,10.83,8.57,0.46,0.1959,4.73,12.29
6.82,8.67,10.8,8.56,0.49,0.1959,4.73,12.35
6.83,8.68,10.78,8.56,0.52,0.1959,4.73,12.4
6.84,8.69,10.75,8.56,0.52,0.1959,4.73,12.32
6.85,8.7,10.73,8.56,0.77,0.1959,4.73,12.24
6.85,8.7,10.72,8.56,0.65,0.1959,4.73,12.15
6.86,8.71,10.7,8.56,0.56,0.1959,4.71,12.07
6.87,8.72,10.68,8.56,0.49,0.1959,4.71,12.07
6.87,8.72,10.67,8.56,0.46,0.1959,4.74,12.02
6.87,8.72,10.65,8.56,0.52,0.1959,4.74,11.97
6.88,8.73,10.64,8.56,0.59,0.1959,4.76,11.98
6.89,8.74,10.63,8.56,0.56,0.1959,4.76,11.99
6.9,8.75,10.62,8.56,0.46,0.1959,4.77,11.95
6.92,8.77,10.61,8.56,0.43,0.1959,4.77,11.92
6.93,8.78,10.6,8.55,0.46,0.1959,4.79,12.02
6.95,8.8,10.59,8.55,0.46,0.1959,4.79,12.26
6.97,8.82,10.57,8.55,0.49,0.197,4.79,12.59
6.99,8.84,10.53,8.55,0.46,0.197,4.79,12.82
7,8.85,10.5,8.55,0.46,0.197,4.79,12.98
7.02,8.87,10.46,8.55,0.49,0.197,4.8,13.09
7.03,8.88,10.43,8.55,0.49,0.197,4.8,13.15
7.04,8.89,10.39,8.55,0.43,0.1981,4.79,13.22
7.04,8.89,10.38,8.55,0.4,0.1981,4.79,13.46
7.06,8.91,10.4,8.55,0.46,0.1981,4.78,13.83
7.07,8.92,10.42,8.55,0.46,0.1981,4.78,14.21
7.08,8.93,10.42,8.55,0.46,0.1981,4.78,14.27
7.1,8.95,10.41,8.54,0.46,0.1981,4.78,14.19
7.12,8.97,10.39,8.54,0.49,0.1981,4.76,14.28
7.14,8.99,10.37,8.54,0.46,0.1981,4.76,14.39
7.15,9,10.34,8.54,0.46,0.1981,4.75,14.35
7.17,9.02,10.29,8.54,0.56,0.197,4.75,14.2
7.18,9.03,10.23,8.54,0.59,0.1981,4.75,14.1
7.2,9.05,10.18,8.54,0.68,0.1981,4.75,14.01
7.21,9.06,10.13,8.54,0.68,0.1981,4.75,13.96
7.22,9.07,10.1,8.54,0.56,0.1981,4.73,13.99
7.23,9.08,10.09,8.54,0.52,0.1981,4.73,14.06
7.24,9.09,10.07,8.54,0.52,0.1981,4.71,13.86
7.24,9.09,10.05,8.54,0.52,0.1981,4.71,13.64
7.25,9.1,10.04,8.54,0.65,0.1992,4.71,13.42
7.26,9.11,10.02,8.54,0.59,0.1992,4.71,13.31
7.27,9.12,10,8.54,0.52,0.1981,4.69,13.28
7.28,9.13,9.98,8.53,0.56,0.1992,4.69,13.23
7.29,9.14,9.96,8.53,0.65,0.1992,4.69,13.25
