"","OTU","Sample","Abundance","depth_m","avg_cells_ml","Kingdom","Phylum","Class","Order","Family","Genus","Species","Abundance_P","AA_Genus"
"404","Otu00051","LC-11m-E1",0.0123411831350651,11,104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,1.23411831350651,1287.59677334709
"329","Otu00042","LC-5m-E1",0.0120405127841915,5,86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,1.20405127841915,1043.5111080034
"244","Otu00033","Cadagno15m-E2",0.0110894342334942,15,905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,1.10894342334942,10035.9379813122
"1164","Otu00143","LC-5m-E1",0.00842835894893406,5,86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.842835894893406,730.45777560238
"80","Otu00008","LC-5m-E1",0.00807422621998725,5,86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.807422621998725,699.766272425809
"1169","Otu00143","LC-3m-E1",0.00794123486202104,3,95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.794123486202104,759.711468493151
"245","Otu00033","LC-19m-E1",0.00789612212668889,19,397000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.789612212668889,3134.76048429549
"325","Otu00042","LC-9m-E1",0.007251790972619,9,73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.7251790972619,529.380741001187
"74","Otu00008","LC-3m-E1",0.00641916484680034,3,95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.641916484680034,614.10010369863
"410","Otu00051","Cadagno7m-E2",0.00565789473684211,7,157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.565789473684211,890.175438407895
"328","Otu00042","Cadagno7m-E2",0.00333333333333333,7,157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.333333333333333,524.444444333333
"866","Otu00106","LC-3m-E1",0.00327575938058368,3,95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Cyanobium_PCC-6307",NA,0.327575938058368,313.380980753425
"417","Otu00052","LC-15point5m-E1",0.00229522306699182,15.5,585000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.229522306699182,1342.70549419022
"76","Otu00008","LC-13m-E1",0.00227804088483904,13,95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.227804088483904,217.173231013728
"401","Otu00051","LC-13m-E1",0.00227804088483904,13,95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.227804088483904,217.173231013728
"865","Otu00106","LC-5m-E1",0.00226644946525958,5,86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Cyanobium_PCC-6307",NA,0.226644946525958,196.425620330052
"1662","Otu00208","LC-3m-E1",0.00211766262987228,3,95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.211766262987228,202.589724931507
"326","Otu00042","Cadagno15m-E2",0.00200225895882534,15,905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.200225895882534,1812.04435773693
"863","Otu00106","LC-9m-E1",0.00184591042939393,9,73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Cyanobium_PCC-6307",NA,0.184591042939393,134.751461345757
"1666","Otu00208","Cadagno7m-E2",0.00157894736842105,7,157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.157894736842105,248.421052578947
"54","Otu00006","LC-11m-E1",0.00141620134336813,11,104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.141620134336813,147.757006777535
"1667","Otu00208","LC-9m-E1",0.00127455720124819,9,73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.127455720124819,93.0426756911177
"2197","Otu00286","LC-19m-E1",0.00122828566415161,19,397000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429",NA,0.122828566415161,487.629408668187
"2376","Otu00323","LC-13m-E1",0.00119896888675739,13,95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.119896888675739,114.301700533541
"1665","Otu00208","LC-13m-E1",0.00107907199808165,13,95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.107907199808165,102.871530480187
"2196","Otu00286","LC-17m-E1",0.000946409558736543,17,434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429",NA,0.0946409558736543,411.372688229031
"1669","Otu00208","LC-5m-E1",0.000849918549472342,5,86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0849918549472342,73.6596076237694
"249","Otu00033","LC-11m-E1",0.000809257910496075,11,104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0809257910496075,84.4325753014486
"2261","Otu00299","LC-11m-E1",0.000768795014971271,11,104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0768795014971271,80.2109465363761
"2757","Otu00421","LC-13m-E1",0.000659432887716564,13,95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0659432887716564,62.8659352934476
"2739","Otu00410","LC-3m-E1",0.000628681093243333,3,95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0628681093243333,60.1438245890411
"2267","Otu00299","Cadagno7m-E2",0.000614035087719298,7,157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0614035087719298,96.6081871140351
"2191","Otu00286","LC-15point5m-E1",0.000573805766747956,15.5,585000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429",NA,0.0573805766747956,335.676373547554
"2371","Otu00323","LC-15point5m-E1",0.000573805766747956,15.5,585000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.0573805766747956,335.676373547554
"2378","Otu00323","LC-17m-E1",0.000532355376789306,17,434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.0532355376789306,231.39713712883
"2379","Otu00323","LC-19m-E1",0.000526408141779259,19,397000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.0526408141779259,208.984032286366
"2465","Otu00342","LC-19m-E1",0.000526408141779259,19,397000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.0526408141779259,208.984032286366
"2377","Otu00323","Cadagno15m-E2",0.000513399733032139,15,905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.0513399733032139,464.626758394086
"2731","Otu00410","LC-5m-E1",0.000495785820525533,5,86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0495785820525533,42.9681044471988
"420","Otu00052","LC-17m-E1",0.000414054181947238,17,434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0414054181947238,179.975551100201
"2464","Otu00342","LC-17m-E1",0.000414054181947238,17,434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.0414054181947238,179.975551100201
"2839","Otu00475","LC-17m-E1",0.000414054181947238,17,434666.6667,"Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa","Gastranaerophilales_ge",NA,0.0414054181947238,179.975551100201
"2751","Otu00421","LC-11m-E1",0.000404628955248038,11,104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0404628955248038,42.2162876507243
"2733","Otu00410","LC-9m-E1",0.000395552234870127,9,73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0395552234870127,28.8753131455193
"2752","Otu00421","LC-9m-E1",0.000395552234870127,9,73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0395552234870127,28.8753131455193
"450","Otu00055","Cadagno7m-E2",0.000394736842105263,7,157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0394736842105263,62.1052631447368
"416","Otu00052","LC-13m-E1",0.000359690666027217,13,95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0359690666027217,34.2905101600623
"2840","Otu00475","LC-19m-E1",0.000350938761186173,19,397000,"Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa","Gastranaerophilales_ge",NA,0.0350938761186173,139.322688190911
"2198","Otu00286","Cadagno15m-E2",0.000308039839819283,15,905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429",NA,0.0308039839819283,278.776055036451
"250","Otu00033","LC-9m-E1",0.000307651738232321,9,73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0307651738232321,22.4585768909594
"444","Otu00055","LC-3m-E1",0.000297796307325789,3,95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0297796307325789,28.4891800684932
"330","Otu00042","LC-17m-E1",0.00029575298710517,17,434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.029575298710517,128.553965071572
"2831","Otu00475","LC-15point5m-E1",0.000286902883373978,15.5,585000,"Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa","Gastranaerophilales_ge",NA,0.0286902883373978,167.838186773777
"2263","Otu00299","LC-5m-E1",0.000283306183157447,5,86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0283306183157447,24.5532025412565
"2806","Otu00440","LC-9m-E1",0.000263701489913418,9,73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0263701489913418,19.2502087636795
"2833","Otu00475","Cadagno15m-E2",0.000256699866516069,15,905000,"Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa","Gastranaerophilales_ge",NA,0.0256699866516069,232.313379197043
"2466","Otu00342","LC-13m-E1",0.000239793777351478,13,95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.0239793777351478,22.8603401067082
"242","Otu00033","LC-3m-E1",0.00023161935014228,3,95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.023161935014228,22.1582511643836
"1166","Otu00143","LC-9m-E1",0.000219751241594515,9,73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0219751241594515,16.0418406363996
"2268","Otu00299","LC-9m-E1",0.000219751241594515,9,73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0219751241594515,16.0418406363996
"241","Otu00033","Cadagno7m-E2",0.000219298245614035,7,157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0219298245614035,34.5029239692982
"2810","Otu00440","LC-5m-E1",0.000212479637368086,5,86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0212479637368086,18.4149019059423
"2266","Otu00299","LC-3m-E1",0.000198530871550526,3,95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0198530871550526,18.9927867123288
"2193","Otu00286","LC-13m-E1",0.000179845333013608,13,95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429",NA,0.0179845333013608,17.1452550800312
"415","Otu00052","LC-19m-E1",0.000175469380593087,19,397000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0175469380593087,69.6613440954553
"870","Otu00106","LC-19m-E1",0.000175469380593087,19,397000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Cyanobium_PCC-6307",NA,0.0175469380593087,69.6613440954553
"2801","Otu00440","Cadagno7m-E2",0.000175438596491228,7,157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0175438596491228,27.6023391754386
"2804","Otu00440","LC-3m-E1",0.000165442392958772,3,95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0165442392958772,15.827322260274
"1663","Otu00208","LC-11m-E1",0.000161851582099215,11,104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0161851582099215,16.8865150602897
"2807","Otu00440","LC-11m-E1",0.000161851582099215,11,104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0161851582099215,16.8865150602897
"2461","Otu00342","LC-15point5m-E1",0.000143451441686989,15.5,585000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.0143451441686989,83.9190933868885
"52","Otu00006","LC-5m-E1",0.000141653091578724,5,86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0141653091578724,12.2766012706282
"448","Otu00055","LC-5m-E1",0.000141653091578724,5,86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0141653091578724,12.2766012706282
"443","Otu00055","LC-9m-E1",0.000131850744956709,9,73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0131850744956709,9.62510438183976
"56","Otu00006","Cadagno7m-E2",0.000131578947368421,7,157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0131578947368421,20.7017543815789
"441","Otu00055","LC-13m-E1",0.000119896888675739,13,95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0119896888675739,11.4301700533541
"2835","Otu00475","LC-13m-E1",0.000119896888675739,13,95333.33333,"Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa","Gastranaerophilales_ge",NA,0.0119896888675739,11.4301700533541
"1668","Otu00208","LC-19m-E1",0.000116979587062058,19,397000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0116979587062058,46.4408960636369
"867","Otu00106","Cadagno15m-E2",0.000102679946606428,15,905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Cyanobium_PCC-6307",NA,0.0102679946606428,92.9253516788171
"862","Otu00106","Cadagno7m-E2",8.7719298245614e-05,7,157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Cyanobium_PCC-6307",NA,0.0087719298245614,13.8011695877193
"247","Otu00033","LC-5m-E1",7.08265457893619e-05,5,86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.00708265457893619,6.13830063531412
"2754","Otu00421","LC-5m-E1",7.08265457893619e-05,5,86666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.00708265457893619,6.13830063531412
"2808","Otu00440","LC-13m-E1",5.99484443378694e-05,13,95333.33333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.00599484443378694,5.71508502667706
"78","Otu00008","LC-17m-E1",5.91505974210339e-05,17,434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.00591505974210339,25.7107930143144
"868","Otu00106","LC-17m-E1",5.91505974210339e-05,17,434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Cyanobium_PCC-6307",NA,0.00591505974210339,25.7107930143144
"2759","Otu00421","LC-17m-E1",5.91505974210339e-05,17,434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.00591505974210339,25.7107930143144
"73","Otu00008","LC-19m-E1",5.84897935310288e-05,19,397000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.00584897935310288,23.2204480318184
"321","Otu00042","LC-19m-E1",5.84897935310288e-05,19,397000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.00584897935310288,23.2204480318184
"2470","Otu00342","Cadagno15m-E2",5.13399733032139e-05,15,905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.00513399733032139,46.4626758394086
"53","Otu00006","LC-9m-E1",4.3950248318903e-05,9,73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0043950248318903,3.20836812727992
"2462","Otu00342","Cadagno7m-E2",4.3859649122807e-05,7,157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.0043859649122807,6.90058479385965
"2755","Otu00421","Cadagno7m-E2",4.3859649122807e-05,7,157333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0.0043859649122807,6.90058479385965
"2469","Otu00342","LC-11m-E1",4.04628955248038e-05,11,104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0.00404628955248038,4.22162876507243
"2200","Otu00286","LC-3m-E1",3.30884785917544e-05,3,95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429",NA,0.00330884785917544,3.16546445205479
"55","Otu00006","LC-3m-E1",0,3,95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0,0
"72","Otu00008","LC-15point5m-E1",0,15.5,585000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0,0
"75","Otu00008","Cadagno15m-E2",0,15,905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified",NA,0,0
"324","Otu00042","LC-15point5m-E1",0,15.5,585000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0,0
"403","Otu00051","LC-19m-E1",0,19,397000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0,0
"406","Otu00051","LC-15point5m-E1",0,15.5,585000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0,0
"408","Otu00051","Cadagno15m-E2",0,15,905000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0,0
"409","Otu00051","LC-17m-E1",0,17,434666.6667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0,0
"411","Otu00052","LC-9m-E1",0,9,73000,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0,0
"412","Otu00052","LC-3m-E1",0,3,95666.66667,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0,0
"413","Otu00052","LC-11m-E1",0,11,104333.3333,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Chloroplast_fa","Chloroplast_ge",NA,0,0
